scientificName,.family_names,clean_family_names,.uncer_terms,uncer_terms,clean_uncer_terms,.other_issues,clean_other_issues,.infraesp_names,infraesp_term,names_clean,cardinality,quality
Cochlidium punctatum,TRUE,Cochlidium punctatum,TRUE,,Cochlidium punctatum,TRUE,Cochlidium punctatum,TRUE,,Cochlidium punctatum,2,1
Asplenium gastonis,TRUE,Asplenium gastonis,TRUE,,Asplenium gastonis,TRUE,Asplenium gastonis,TRUE,,Asplenium gastonis,2,1
Hymenophyllum pulchellum,TRUE,Hymenophyllum pulchellum,TRUE,,Hymenophyllum pulchellum,TRUE,Hymenophyllum pulchellum,TRUE,,Hymenophyllum pulchellum,2,1
Peperomia glabella,TRUE,Peperomia glabella,TRUE,,Peperomia glabella,TRUE,Peperomia glabella,TRUE,,Peperomia glabella,2,1
Anthurium pentaphyllum,TRUE,Anthurium pentaphyllum,TRUE,,Anthurium pentaphyllum,TRUE,Anthurium pentaphyllum,TRUE,,Anthurium pentaphyllum,2,1
Nematanthus sericeus,TRUE,Nematanthus sericeus,TRUE,,Nematanthus sericeus,TRUE,Nematanthus sericeus,TRUE,,Nematanthus sericeus,2,1
Araeococcus parviflorus,TRUE,Araeococcus parviflorus,TRUE,,Araeococcus parviflorus,TRUE,Araeococcus parviflorus,TRUE,,Araeococcus parviflorus,2,1
Tillandsia recurvata,TRUE,Tillandsia recurvata,TRUE,,Tillandsia recurvata,TRUE,Tillandsia recurvata,TRUE,,Tillandsia recurvata,2,1
Rhipsalis pachyptera,TRUE,Rhipsalis pachyptera,TRUE,,Rhipsalis pachyptera,TRUE,Rhipsalis pachyptera,TRUE,,Rhipsalis pachyptera,2,1
Acianthera luteola,TRUE,Acianthera luteola,TRUE,,Acianthera luteola,TRUE,Acianthera luteola,TRUE,,Acianthera luteola,2,1
Ficus crocata,TRUE,Ficus crocata,TRUE,,Ficus crocata,TRUE,Ficus crocata,TRUE,,Ficus crocata,2,1
Pecluma sicca,TRUE,Pecluma sicca,TRUE,,Pecluma sicca,TRUE,Pecluma sicca,TRUE,,Pecluma sicca,2,1
Gomesa flexuosa,TRUE,Gomesa flexuosa,TRUE,,Gomesa flexuosa,TRUE,Gomesa flexuosa,TRUE,,Gomesa flexuosa,2,1
Peperomia glabella,TRUE,Peperomia glabella,TRUE,,Peperomia glabella,TRUE,Peperomia glabella,TRUE,,Peperomia glabella,2,1
Campyloneurum crispum,TRUE,Campyloneurum crispum,TRUE,,Campyloneurum crispum,TRUE,Campyloneurum crispum,TRUE,,Campyloneurum crispum,2,1
Encyclia patens,TRUE,Encyclia patens,TRUE,,Encyclia patens,TRUE,Encyclia patens,TRUE,,Encyclia patens,2,1
Cochlidium punctatum,TRUE,Cochlidium punctatum,TRUE,,Cochlidium punctatum,TRUE,Cochlidium punctatum,TRUE,,Cochlidium punctatum,2,1
Acanthostachys strobilacea,TRUE,Acanthostachys strobilacea,TRUE,,Acanthostachys strobilacea,TRUE,Acanthostachys strobilacea,TRUE,,Acanthostachys strobilacea,2,1
Tillandsia tenuifolia,TRUE,Tillandsia tenuifolia,TRUE,,Tillandsia tenuifolia,TRUE,Tillandsia tenuifolia,TRUE,,Tillandsia tenuifolia,2,1
Epidendrum caldense,TRUE,Epidendrum caldense,TRUE,,Epidendrum caldense,TRUE,Epidendrum caldense,TRUE,,Epidendrum caldense,2,1
Philodendron pedatum,TRUE,Philodendron pedatum,TRUE,,Philodendron pedatum,TRUE,Philodendron pedatum,TRUE,,Philodendron pedatum,2,1
Cattleya amethystoglossa,TRUE,Cattleya amethystoglossa,TRUE,,Cattleya amethystoglossa,TRUE,Cattleya amethystoglossa,TRUE,,Cattleya amethystoglossa,2,1
Vriesea ensiformis,TRUE,Vriesea ensiformis,TRUE,,Vriesea ensiformis,TRUE,Vriesea ensiformis,TRUE,,Vriesea ensiformis,2,1
Peperomia hilariana,TRUE,Peperomia hilariana,TRUE,,Peperomia hilariana,TRUE,Peperomia hilariana,TRUE,,Peperomia hilariana,2,1
Tillandsia recurvata,TRUE,Tillandsia recurvata,TRUE,,Tillandsia recurvata,TRUE,Tillandsia recurvata,TRUE,,Tillandsia recurvata,2,1
Epidendrum geniculatum,TRUE,Epidendrum geniculatum,TRUE,,Epidendrum geniculatum,TRUE,Epidendrum geniculatum,TRUE,,Epidendrum geniculatum,2,1
Hymenophyllum polyanthos,TRUE,Hymenophyllum polyanthos,TRUE,,Hymenophyllum polyanthos,TRUE,Hymenophyllum polyanthos,TRUE,,Hymenophyllum polyanthos,2,1
Rhipsalis campos-portoana,TRUE,Rhipsalis campos-portoana,TRUE,,Rhipsalis campos-portoana,TRUE,Rhipsalis campos-portoana,TRUE,,Rhipsalis campos-portoana,2,1
Pleopeltis macrocarpa,TRUE,Pleopeltis macrocarpa,TRUE,,Pleopeltis macrocarpa,TRUE,Pleopeltis macrocarpa,TRUE,,Pleopeltis macrocarpa,2,1
Prosthechea fragrans,TRUE,Prosthechea fragrans,TRUE,,Prosthechea fragrans,TRUE,Prosthechea fragrans,TRUE,,Prosthechea fragrans,2,1
Vittaria lineata,TRUE,Vittaria lineata,TRUE,,Vittaria lineata,TRUE,Vittaria lineata,TRUE,,Vittaria lineata,2,1
Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,2,1
Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,2,1
Billbergia magnifica,TRUE,Billbergia magnifica,TRUE,,Billbergia magnifica,TRUE,Billbergia magnifica,TRUE,,Billbergia magnifica,2,1
Leucotrichum schenckii,TRUE,Leucotrichum schenckii,TRUE,,Leucotrichum schenckii,TRUE,Leucotrichum schenckii,TRUE,,Leucotrichum schenckii,2,1
Peperomia rotundifolia,TRUE,Peperomia rotundifolia,TRUE,,Peperomia rotundifolia,TRUE,Peperomia rotundifolia,TRUE,,Peperomia rotundifolia,2,1
Peperomia rotundifolia,TRUE,Peperomia rotundifolia,TRUE,,Peperomia rotundifolia,TRUE,Peperomia rotundifolia,TRUE,,Peperomia rotundifolia,2,1
Aechmea ornata,TRUE,Aechmea ornata,TRUE,,Aechmea ornata,TRUE,Aechmea ornata,TRUE,,Aechmea ornata,2,1
Encyclia patens,TRUE,Encyclia patens,TRUE,,Encyclia patens,TRUE,Encyclia patens,TRUE,,Encyclia patens,2,1
Epidendrum coronatum,TRUE,Epidendrum coronatum,TRUE,,Epidendrum coronatum,TRUE,Epidendrum coronatum,TRUE,,Epidendrum coronatum,2,1
Aechmea fulgens,TRUE,Aechmea fulgens,TRUE,,Aechmea fulgens,TRUE,Aechmea fulgens,TRUE,,Aechmea fulgens,2,1
Philodendron fragrantissimum,TRUE,Philodendron fragrantissimum,TRUE,,Philodendron fragrantissimum,TRUE,Philodendron fragrantissimum,TRUE,,Philodendron fragrantissimum,2,1
Vriesea gigantea,TRUE,Vriesea gigantea,TRUE,,Vriesea gigantea,TRUE,Vriesea gigantea,TRUE,,Vriesea gigantea,2,1
Epidendrum rigidum,TRUE,Epidendrum rigidum,TRUE,,Epidendrum rigidum,TRUE,Epidendrum rigidum,TRUE,,Epidendrum rigidum,2,1
Vriesea friburgensis,TRUE,Vriesea friburgensis,TRUE,,Vriesea friburgensis,TRUE,Vriesea friburgensis,TRUE,,Vriesea friburgensis,2,1
Aechmea distichantha,TRUE,Aechmea distichantha,TRUE,,Aechmea distichantha,TRUE,Aechmea distichantha,TRUE,,Aechmea distichantha,2,1
Aechmea recurvata,TRUE,Aechmea recurvata,TRUE,,Aechmea recurvata,TRUE,Aechmea recurvata,TRUE,,Aechmea recurvata,2,1
Peperomia catharinae,TRUE,Peperomia catharinae,TRUE,,Peperomia catharinae,TRUE,Peperomia catharinae,TRUE,,Peperomia catharinae,2,1
Pleopeltis hirsutissima,TRUE,Pleopeltis hirsutissima,TRUE,,Pleopeltis hirsutissima,TRUE,Pleopeltis hirsutissima,TRUE,,Pleopeltis hirsutissima,2,1
Stelis intermedia,TRUE,Stelis intermedia,TRUE,,Stelis intermedia,TRUE,Stelis intermedia,TRUE,,Stelis intermedia,2,1
Vriesea flammea,TRUE,Vriesea flammea,TRUE,,Vriesea flammea,TRUE,Vriesea flammea,TRUE,,Vriesea flammea,2,1
Rhipsalis pacheco-leonis,TRUE,Rhipsalis pacheco-leonis,TRUE,,Rhipsalis pacheco-leonis,TRUE,Rhipsalis pacheco-leonis,TRUE,,Rhipsalis pacheco-leonis,2,1
Nematanthus lanceolatus,TRUE,Nematanthus lanceolatus,TRUE,,Nematanthus lanceolatus,TRUE,Nematanthus lanceolatus,TRUE,,Nematanthus lanceolatus,2,1
Pleopeltis pleopeltidis,TRUE,Pleopeltis pleopeltidis,TRUE,,Pleopeltis pleopeltidis,TRUE,Pleopeltis pleopeltidis,TRUE,,Pleopeltis pleopeltidis,2,1
Vriesea platynema,TRUE,Vriesea platynema,TRUE,,Vriesea platynema,TRUE,Vriesea platynema,TRUE,,Vriesea platynema,2,1
Peperomia catharinae,TRUE,Peperomia catharinae,TRUE,,Peperomia catharinae,TRUE,Peperomia catharinae,TRUE,,Peperomia catharinae,2,1
Peperomia catharinae,TRUE,Peperomia catharinae,TRUE,,Peperomia catharinae,TRUE,Peperomia catharinae,TRUE,,Peperomia catharinae,2,1
Polyphlebium angustatum,TRUE,Polyphlebium angustatum,TRUE,,Polyphlebium angustatum,TRUE,Polyphlebium angustatum,TRUE,,Polyphlebium angustatum,2,1
Stelis aprica,TRUE,Stelis aprica,TRUE,,Stelis aprica,TRUE,Stelis aprica,TRUE,,Stelis aprica,2,1
Octomeria linearifolia,TRUE,Octomeria linearifolia,TRUE,,Octomeria linearifolia,TRUE,Octomeria linearifolia,TRUE,,Octomeria linearifolia,2,1
Philodendron propinquum,TRUE,Philodendron propinquum,TRUE,,Philodendron propinquum,TRUE,Philodendron propinquum,TRUE,,Philodendron propinquum,2,1
Aechmea mertensii,TRUE,Aechmea mertensii,TRUE,,Aechmea mertensii,TRUE,Aechmea mertensii,TRUE,,Aechmea mertensii,2,1
Vriesea gigantea,TRUE,Vriesea gigantea,TRUE,,Vriesea gigantea,TRUE,Vriesea gigantea,TRUE,,Vriesea gigantea,2,1
Philodendron loefgrenii,TRUE,Philodendron loefgrenii,TRUE,,Philodendron loefgrenii,TRUE,Philodendron loefgrenii,TRUE,,Philodendron loefgrenii,2,1
Campyloneurum nitidum,TRUE,Campyloneurum nitidum,TRUE,,Campyloneurum nitidum,TRUE,Campyloneurum nitidum,TRUE,,Campyloneurum nitidum,2,1
Ficus crocata,TRUE,Ficus crocata,TRUE,,Ficus crocata,TRUE,Ficus crocata,TRUE,,Ficus crocata,2,1
Sinningia cooperi,TRUE,Sinningia cooperi,TRUE,,Sinningia cooperi,TRUE,Sinningia cooperi,TRUE,,Sinningia cooperi,2,1
Gomesa concolor,TRUE,Gomesa concolor,TRUE,,Gomesa concolor,TRUE,Gomesa concolor,TRUE,,Gomesa concolor,2,1
Quesnelia strobilispica,TRUE,Quesnelia strobilispica,TRUE,,Quesnelia strobilispica,TRUE,Quesnelia strobilispica,TRUE,,Quesnelia strobilispica,2,1
Tillandsia geminiflora,TRUE,Tillandsia geminiflora,TRUE,,Tillandsia geminiflora,TRUE,Tillandsia geminiflora,TRUE,,Tillandsia geminiflora,2,1
Acianthera luteola,TRUE,Acianthera luteola,TRUE,,Acianthera luteola,TRUE,Acianthera luteola,TRUE,,Acianthera luteola,2,1
Capanemia adelaidae,TRUE,Capanemia adelaidae,TRUE,,Capanemia adelaidae,TRUE,Capanemia adelaidae,TRUE,,Capanemia adelaidae,2,1
Billbergia iridifolia,TRUE,Billbergia iridifolia,TRUE,,Billbergia iridifolia,TRUE,Billbergia iridifolia,TRUE,,Billbergia iridifolia,2,1
Leucotrichum organense,TRUE,Leucotrichum organense,TRUE,,Leucotrichum organense,TRUE,Leucotrichum organense,TRUE,,Leucotrichum organense,2,1
Tillandsia stricta,TRUE,Tillandsia stricta,TRUE,,Tillandsia stricta,TRUE,Tillandsia stricta,TRUE,,Tillandsia stricta,2,1
Encyclia patens,TRUE,Encyclia patens,TRUE,,Encyclia patens,TRUE,Encyclia patens,TRUE,,Encyclia patens,2,1
