original_site_code,sitename,lat,long,country,species_name
AtlSC170,"Ponte Serrada, floresta estacional de araucária",-26.82,-52.0169444444444,Brasil,Citronella gongonha
AtlRJ008,"Ilha de Marambaia, mosaico arenícola costeiro",-23.0483333333333,-43.8694444444444,Brasil,Licania littoralis
AmzAP013,"Macapá, Rio Macacoari, floresta ripícola",0.473611111111111,-50.7447222222222,Brasil,Byrsonima japurensis
AtlPR025,"Serra da Prata, floresta nebular",-25.6177777777778,-48.695,Brasil,Ocotea odorifera
AmzPA033,"São Francisco do Pará, floresta pluvial de terra firme",-1.18166666666667,-47.8225,Brasil,Aspidosperma excelsum
AtlBA055,"Una, floresta pluvial",-15.1752777777778,-39.095,Brasil,Machaerium ovalifolium
CerTO022,"Alvorada, cerradão mesotrófico",-12.5144444444444,-49.1697222222222,Brasil,Zeyheria montana
AtlPR080,"Bituruna, floresta estacional de araucária",-26.0963888888889,-51.5188888888889,Brasil,Cedrela fissilis
AtlMG040,"Leme do Prado, floresta semidecídua",-17.0336111111111,-42.7033333333333,Brasil,Sorocea guilleminiana
AtlRS092,"Candelária, floresta semidecídua",-29.6330555555556,-52.8430555555556,Brasil,Strychnos brasiliensis
AmzAM274,"Terra Indígena Tenharim, floresta pluvial de terra firme",-7.90944444444444,-62.1836111111111,Brasil,Iryanthera hostmannii
AtlSC054,"Taió, floresta pluvial",-27.0919444444444,-50.0375,Brasil,Baccharis semiserrata
CerMS115,"Alto Aporé, floresta ripícola",-18.6605555555556,-52.8494444444444,Brasil,Simarouba amara
AmzRO003,"Candeias do Jamari, Usina de Samuel, floresta pluvial de terra firme",-8.75361111111111,-63.3622222222222,Brasil,Trichilia quadrijuga
CerCE009,"Camocim, cerrado",-2.98777777777778,-40.6869444444444,Brasil,Cordiera myrciifolia
CerPI027,"Monsenhor Gil, cerradão mesotrófico",-5.54138888888889,-42.6305555555556,Brasil,Vismia guianensis
AtlMG046,"Rio Vermelho, floresta semidecídua",-18.2422222222222,-42.9661111111111,Brasil,Miconia ligustroides
AtlMG049,"Açucena, floresta semidecídua",-19.0433333333333,-42.4338888888889,Brasil,Casearia sylvestris
AtlMG121,"Mariana, floresta semidecídua",-20.3688888888889,-43.3861111111111,Brasil,Sebastiania brasiliensis
AmzRO057,"Costa Marques, ICMBio, floresta estacional de terra firme",-12.5602777777778,-63.4419444444444,Brasil/Bolivia,Dendropanax cuneatus
AtlSP129,"Salmourão, floresta semidecídua",-21.5688888888889,-50.7397222222222,Brasil,Miconia chamissois
AmzTO002,"Araguatins, floresta estacional de terra firme",-5.30388888888889,-48.3677777777778,Brasil,Rinorea ovalifolia
AmzAM033,"Manaus, Lago Tupé, floresta pluvial de terra firme",-3.04833333333333,-60.2616666666667,Brasil,Pouteria macrophylla
CerDF015,"Jardim Botânico de Brasília, cerrado",-15.9022222222222,-47.8761111111111,Brasil,Zeyheria montana
AtlES065,"Afonso Cláudio, floresta semidecídua",-20.0777777777778,-41.1138888888889,Brasil,Campomanesia guaviroba
CerMT089,"Serra da Petrovina, cerrado",-16.8075,-54.1816666666667,Brasil,Plathymenia reticulata
AtlSC031,"Palhoça, floresta pluvial",-27.7130555555556,-48.6544444444444,Brasil,Eugenia beaurepairiana
AtlMG216,"Santa Rita de Jacutinga, floresta semidecídua",-22.1958333333333,-44.1827777777778,Brasil,Myrcia pubipetala
AtlMG135,"Ouro Branco, floresta semidecídua",-20.4972222222222,-43.7241666666667,Brasil,Humiria balsamifera
CerMG184,"Chapada dos Gerais, cerrado rupícola",-17.4558333333333,-45.1825,Brasil,Myrsine guianensis
CerMT066,"Itiquira, floresta ripícola",-17.2305555555556,-54.5741666666667,Brasil,Guarea guidonia
CaaBA129,"Morpará, Rio São Francisco, floresta decídua inundável",-11.4816666666667,-43.2441666666667,Brasil,Zygia latifolia
AtlMG146,"Serra do Cabral, campo rupícola",-17.625,-44.2563888888889,Brasil,Byrsonima verbascifolia
AtlMG250,"Baependi, floresta semidecídua",-21.8830555555556,-44.9208333333333,Brasil,Campomanesia guaviroba
AtlSP069,"Joanópolis, floresta nebular",-22.8952777777778,-46.2363888888889,Brasil,Daphnopsis brasiliensis
AtlBA064,"São Miguel das Matas, floresta pluvial",-12.9527777777778,-39.4525,Brasil,Sterculia curiosa
AtlPR133,"Quatiguá, floresta semidecídua",-23.5080555555556,-49.8086111111111,Brasil,Tapirira guianensis
AmzRO039,"Cabeceiras do Pacaás Novos, floresta pluvial subserrana",-10.9638888888889,-63.7222222222222,Brasil,Trema micrantha
CerTO044,"Rio Jaburu, cerrado de murundus",-12.0288888888889,-50.3936111111111,Brasil,Aspidosperma macrocarpon
AtlMG127,"Serra da Piedade, Penedia, floresta semidecídua",-19.8305555555556,-43.6486111111111,Brasil,Cyathea phalerata
AtlCE030,"Barbalha, floresta semidecídua",-7.36777777777778,-39.33,Brasil,Guapira nitida
AtlRJ059,"Santa Maria Madalena, floresta pluvial",-21.9775,-42.0044444444444,Brasil,Zollernia ilicifolia
AmzAM032,"Manaus, Tarumã-Açu, floresta pluvial de terra firme",-2.89027777777778,-60.1475,Brasil,Tabernaemontana macrocalyx
AtlPB016,"Sapé, floresta semidecídua",-7.03583333333333,-35.1594444444444,Brasil,Clusia nemorosa
AmzMT025,"Alta Floresta, floresta estacional de terra firme",-9.97277777777778,-56.3502777777778,Brasil,Ceiba pentandra
AmzAM215,"São Sebastião do Uatumã, Lago Uatumã, floresta inundável de água negra",-2.55277777777778,-58.1491666666667,Brasil,Licania longistyla
CaaPB036,"Monte Horebe, floresta decídua",-7.18972222222222,-38.5902777777778,Brasil,Styrax camporum
AtlSC159,"Rio Canoas, floresta estacional de araucária",-27.6333333333333,-51.1627777777778,Brasil,Myrsine coriacea
CerMG068,"João Pinheiro, floresta ripícola",-17.6558333333333,-46.3122222222222,Brasil,Cordia sellowiana
CerMA014,"Colinas do Maranhão, floresta ripícola",-6.01888888888889,-44.6044444444444,Brasil,Ceiba samauma
AtlMG007,"Nanuque, floresta semidecídua",-17.8322222222222,-40.2808333333333,Brasil,Piptadenia gonoacantha
AtlRS141,"Riozinho, floresta semidecídua",-29.6019444444444,-50.3661111111111,Brasil,Eugenia multicostata
AtlMG092,"Capanema, nanofloresta rupícola",-20.17,-43.6458333333333,Brasil,Ficus laureola
AmzRR060,"Amajari, Fazenda União, savana hipersazonal",3.51527777777778,-60.9105555555556,Brasil,Eugenia stictopetala
CerPA005,"Conceição do Araguaia, Rio Arraia, floresta ripícola",-8.18166666666667,-49.5847222222222,Brasil,Erythroxylum leptoneurum
AtlSP023,"Ilha do Cardoso, Núcleo Marujá, floresta pluvial",-25.1694444444444,-47.9905555555556,Brasil,Marlierea excoriata
AtlRS099,"Porto Alegre, floresta semidecídua",-30.0641666666667,-51.125,Brasil,Myrcia hartwegiana
AtlSC022,"São João do Itaperiú, floresta pluvial",-26.6413888888889,-48.7844444444444,Brasil,Quillaja brasiliensis
CerMG096,"Vargem Bonita, floresta ripícola",-20.3483333333333,-46.2925,Brasil,Diospyros hispida
AmzAM223,"Careiro da Várzea, Paraná do Autaz-Mirim, floresta inundável de água negra",-3.28388888888889,-59.4844444444444,Brasil,Myrciaria dubia
CerGO078,"Nova Crixás, floresta ripícola",-14.0547222222222,-50.4936111111111,Brasil,Mabea pohliana
AtlMG107,"Mendanha, Rio Jequitinhonha, floresta semidecídua",-18.2655555555556,-43.4494444444444,Brasil,Psidium rufum
