input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:2288708,77,GBIF:2288708,Lima,genus,accepted,GBIF:2288708,Animalia,Mollusca,Bivalvia,Limida,Limidae,Lima,,,3480,,"Bruguière, 1797",
GBIF:2152472,78,GBIF:2152472,Janusia,genus,accepted,GBIF:2152472,Animalia,Arthropoda,Arachnida,Araneae,Ctenidae,Janusia,,,7363,,"Gray, 1973",
GBIF:8073766,79,GBIF:8073766,Janusia,genus,accepted,GBIF:8073766,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Janusia,,,6676,,A.Juss.,
GBIF:8967748,80,GBIF:8967748,Alternanthera brasiliana brasiliana,subspecies,accepted,GBIF:8967748,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,brasiliana,brasiliana,3084934,,,
GBIF:7323226,81,GBIF:7323226,Alternanthera brasiliana brasiliana,variety,accepted,GBIF:7323226,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,brasiliana,brasiliana,3084934,,,
GBIF:7473389,82,GBIF:7473389,Alternanthera brasiliana brasiliana,form,accepted,GBIF:7473389,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,brasiliana,brasiliana,3084934,,,
GBIF:8834409,83,GBIF:8834409,Hirtella racemosa hispida,subspecies,accepted,GBIF:8834409,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,racemosa,hispida,2985122,,Prance,
GBIF:3745448,84,GBIF:3745448,Hirtella racemosa hispida,variety,accepted,GBIF:3745448,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,racemosa,hispida,2985122,,Prance,
GBIF:3240753,85,GBIF:3240753,Pterodon,genus,accepted,GBIF:3240753,Animalia,Chordata,Mammalia,,Hyaenodontidae,Pterodon,,,3240747,,"Blainville, 1839",
GBIF:2933939,86,GBIF:2933939,Pterodon,genus,accepted,GBIF:2933939,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pterodon,,,5386,,Vogel,
