scientificName,.uncer_terms,.infraesp_names,names_clean,quality
Peperomia urocarpa,TRUE,TRUE,Peperomia urocarpa,1
Dichaea cogniauxiana,TRUE,TRUE,Dichaea cogniauxiana,1
Prosthechea allemanoides,TRUE,TRUE,Prosthechea allemanoides,1
Hymenophyllum fragile,TRUE,TRUE,Hymenophyllum fragile,1
Anthurium gaudichaudianum,TRUE,TRUE,Anthurium gaudichaudianum,1
Promenaea xanthina,TRUE,TRUE,Promenaea xanthina,1
Peperomia glabella,TRUE,TRUE,Peperomia glabella,1
Hymenophyllum polyanthos,TRUE,TRUE,Hymenophyllum polyanthos,1
Rumohra adiantiformis,TRUE,TRUE,Rumohra adiantiformis,1
Vriesea scalaris,TRUE,TRUE,Vriesea scalaris,1
Nidularium innocentii,TRUE,TRUE,Nidularium innocentii,1
Peperomia emarginella,TRUE,TRUE,Peperomia emarginella,1
Vriesea flammea,TRUE,TRUE,Vriesea flammea,1
Gomesa glaziovii,TRUE,TRUE,Gomesa glaziovii,1
Campyloneurum atlanticum,TRUE,TRUE,Campyloneurum atlanticum,1
Microgramma vacciniifolia,TRUE,TRUE,Microgramma vacciniifolia,1
Tillandsia tricholepis,TRUE,TRUE,Tillandsia tricholepis,1
Acianthera sonderiana,TRUE,TRUE,Acianthera sonderiana,1
Rhipsalis elliptica,TRUE,TRUE,Rhipsalis elliptica,1
Lepismium houlletianum,TRUE,TRUE,Lepismium houlletianum,1
Vriesea flammea,TRUE,TRUE,Vriesea flammea,1
Edmundoa lindenii,TRUE,TRUE,Edmundoa lindenii,1
Anathallis obovata,TRUE,TRUE,Anathallis obovata,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Microgramma tecta,TRUE,TRUE,Microgramma tecta,1
Acianthera hygrophila,TRUE,TRUE,Acianthera hygrophila,1
Aechmea recurvata,TRUE,TRUE,Aechmea recurvata,1
Epiphyllum phyllanthus,TRUE,TRUE,Epiphyllum phyllanthus,1
Peperomia catharinae,TRUE,TRUE,Peperomia catharinae,1
Peperomia subternifolia,TRUE,TRUE,Peperomia subternifolia,1
Pleopeltis pleopeltidis,TRUE,TRUE,Pleopeltis pleopeltidis,1
Begonia fruticosa,TRUE,TRUE,Begonia fruticosa,1
Peperomia circinnata,TRUE,TRUE,Peperomia circinnata,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Nematanthus wettsteinii,TRUE,TRUE,Nematanthus wettsteinii,1
Vriesea unilateralis,TRUE,TRUE,Vriesea unilateralis,1
Aechmea bromeliifolia,TRUE,TRUE,Aechmea bromeliifolia,1
Elaphoglossum prestonii,TRUE,TRUE,Elaphoglossum prestonii,1
Vriesea friburgensis,TRUE,TRUE,Vriesea friburgensis,1
Capanemia superflua,TRUE,TRUE,Capanemia superflua,1
Epidendrum ramosum,TRUE,TRUE,Epidendrum ramosum,1
Asplenium scandicinum,TRUE,TRUE,Asplenium scandicinum,1
Peperomia hilariana,TRUE,TRUE,Peperomia hilariana,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Peperomia galioides,TRUE,TRUE,Peperomia galioides,1
Tillandsia tenuifolia,TRUE,TRUE,Tillandsia tenuifolia,1
Campylocentrum grisebachii,TRUE,TRUE,Campylocentrum grisebachii,1
Peperomia rizzinii,TRUE,TRUE,Peperomia rizzinii,1
Asplenium gastonis,TRUE,TRUE,Asplenium gastonis,1
