SpName,Longitude,Latitude
Endlicheria paniculata,-42.4775,-20.7213889
Phyllanthus acuminatus,-51.9622,-18.3061
Erythroxylum citrifolium,-42.9656,-22.4122
Piper glabratum,-51.1906,-22.9967
Guapira opposita,-37.7327778,-12.0461111
Guapira venosa,-65.5811,-1.85611
Cyathea gardneri,-45.2642,-22.2119
Miconia chamissois,-45.2136,-7.85028
Guazuma ulmifolia,-51.8103,-16.9567
Eugenia ramboi,-50.5186,-23.1508
Bauhinia longifolia,-40.4633333,-19.2758334
Eugenia punicifolia,-42.509444,-14.226389
Piper corcovadensis,-49.4994444,-28.2602778
Faramea montevidensis,-48.82,-26.89
Stryphnodendron adstringens,-47.06,-22.9
Cordiera sessilis,-47.47,-15.65
Myrciaria tenella,-46.9422,-22.3722
Vernonia rubriramea,-43.7144,-19.1689
Endlicheria paniculata,-48.59,-24.58
Ocotea floribunda,-62.8,1.53
Lessingianthus cataractarum,-50.4167,-28.6678
Chrysophyllum marginatum,-47.64,-22.72
Psychotria leiocarpa,-49.687028,-25.809611
Myrcia splendens,-40.552778,-19.953333
Anadenanthera peregrina,-45.649722,-20.387222
Piper corcovadensis,-46.6361,-23.5475
Ossaea marginata,-45.41,-23.76
Ocotea gardneri,-35.048611,-7.336111
Machaerium paraguariense,-51.1144,-29.3764
Simira glaziovii,-39.7525,-18.765833
Sloanea garckeana,-42.3917,-22.6508
Clidemia biserrata,-53.7278,-23.5083
Andira nitida,-41.0705556,-21.5777778
Miconia discolor,-43.863528,-20.001258
Alchornea triplinervia,-51.7181,-29.9433
Miconia chamissois,-47.52,-16.79
Eriotheca gracilipes,-47.136667,-11.123611
Varronia curassavica,-40.506949,-20.648848
Vitex rufescens,-40.0722,-19.3911
Ximenia americana,-34.833889,-6.981111
Parapiptadenia rigida,-53.5833333,-22.4
Astronium graveolens,-51.4917,-22.6608
Styrax ferrugineus,-46.97,-22.05
Miconia mirabilis,-39.4283,-12.7656
Anadenanthera colubrina,-41.316667,-12.85
Aloysia virgata,-47.3,-21.27
Croton heliotropiifolius,-35.920278,-8.231667
Inga striata,-50.5186,-23.1508
Miconia ligustroides,-46.735,-23.8356
Myrcia splendens,-42.48,-14.07
Erythroxylum suberosum,-46.63,-23.54
Clusia panapanari,-55.918333,-9.585833
Sterculia excelsa,-60.8997,-12.5522
Xylopia laevigata,-39.8589,-18.7161
Pouteria grandiflora,-37.42,-11.39
Bactris acanthocarpa,-62.98311,-6.66357
Allophylus edulis,-51.9664,-29.5019
Stryphnodendron adstringens,-46.3114,-20.7181
Psychotria vellosiana,-49.2611,-24.8236
Miconia inconspicua,-45.59,-22.73
Bauhinia rufa,-48.5833333,-14.2666667
Cordia americana,-51.325,-30.1139
Casearia sylvestris,-48.127861,-13.787861
Byrsonima ligustrifolia,-43.8666667,-21.6833333
Amphilophium crucigerum,-46.9006,-13.2564
Zanthoxylum rhoifolium,-51.2311,-22.7803
Pityrocarpa moniliformis,-42.7333333,-11.4
Indigofera suffruticosa,-37.225,-5.4
Eugenia candolleana,-40.4,-11.15
Myrceugenia myrcioides,-49.378611,-26.250556
Campomanesia pubescens,-48.836667,-15.790833
Peltophorum dubium,-40.1116667,-13.9469444
Peltogyne confertiflora,-48.316667,-13.966667
Clidemia hirta,-35.469722,-7.619722
Ocotea longifolia,-60.025,-2.03444
Aureliana fasciculata,-51.564806,-25.044528
Hirtella bicornis,-68.316667,-4.65
Piper umbellatum,-64.37,4.05
Lonchocarpus muehlbergianus,-46.74,-21.46
Symplocos estrellensis,-42.0081,-21.9553
Trixis praestans,-49.5178,-27.0569
Piper hispidum,-57.92,-4.75
Zollernia ilicifolia,-49.478928,-27.021978
Dendropanax monogynus,-45.07,-23.43
Picrasma crenata,-51.23,-30.0331
Inga marginata,-56.72,-13.45
Tournefortia paniculata,-52.4,-26.88
Senna spectabilis,-41.38,-10.27
