Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Tibouchina fissinervia (Schrank & Mart. ex DC.) Cogn.,Tibouchina fissinervia (Schrank & Mart. ex DC.) Cogn.,"Morro do Chapéu, nanofloresta rupícola",Brazil,-12.44939994812,-41.468101501465,817,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Terminalia argentea (Cambess.) Mart.,Terminalia argentea (Cambess.) Mart.,"Vitória da Conquista, floresta semidecidual de cipó",Brazil,-14.846099853516,-40.729698181152,950,Seasonally dry Semideciduous Broadleaved Forest,"SOARES-FILHO, A.O. 2000 Dissertação de Mestrado, Universidade de São Paulo, São Paulo, SP, Brasil. Estudo fitossociológico de duas florestas em região ecotonal no planalto de Vitória da Conquista, Bahia, Brasil.",
Senegalia langsdorffii (Benth.) Seigler & Ebinger,Senegalia langsdorffii (Benth.) Seigler & Ebinger,"Itinga, caatinga arbórea",Brazil,-16.609399795532,-41.815601348877,387,Arid Deciduous Broadleaved Forest,"GAVILANES, M.L.; BRANDÃO, M. & DANGELO-NETO.' 1996 Informações preliminares sobre a cobertura do município de Francisco Sá, Minas Gerais. Daphne 6 (4): 44-65.",
Lafoensia pacari A.St.-Hil.,Lafoensia pacari A.St.-Hil.,"Belo Horizonte, floresta semidecidual",Brazil,-19.876899719238,-43.971900939941,847,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Psidium sp. 1,Psidium sp. 1,"Cachoeiro de Itapemirim, floresta semidecidual",Brazil,-20.744400024414,-41.291900634766,,,"ABREU, K.M.P; SILVA, G.F.S.; SILVA, A.G. 2013 ANÁLISE FITOSSOCIOLÓGICA DA FLORESTA NACIONAL DE PACOTUBA, CACHOEIRO DE ITAPEMIRIM, ES – BRASIL Cerne 19 (1): 157-168",
Copaifera lucens Dwyer,Copaifera lucens Dwyer,ARIE Laerth Paiva Gama,Brazil,-20.767499923706,-41.549198150635,,,"SILVA, W.M.; ZORZANELLI, J.P.F.; MOREAU, J.S.; ABREU, K.M.P; KUNZ, S.H. 2017 Estrutura e sucessão ecológica de uma comunidade florestal urbana no sul do Espírito Santo. Estrutura e sucessão ecológica de uma comunidade florestal urbana no sul do Espírito Santo. 68(2): 301-314",
Actinostemon schomburgkii (Klotzsch) Hochr.,Actinostemon schomburgkii (Klotzsch) Hochr.,"Guapirama, floresta semidecidual",Brazil,-23.447799682617,-53.300300598145,387,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Senna acuruensis (Benth.) H.S.Irwin & Barneby,Senna acuruensis (Benth.) H.S.Irwin & Barneby,"Bocaiúva, floresta decidual",Brazil,-17.073600769043,-43.767200469971,759,Seasonally dry Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Mimosa tenuiflora (Willd.) Poir.,Mimosa tenuiflora (Willd.) Poir.,"Santa Maria da Boa Vista, caatinga quartzosa",Brazil,-8.7686004638672,-39.824199676514,383,Arid Deciduous Broadleaved Forest,"DRUMMOND, M.A.; LIMA, P.C.F.; SOUZA, S.M. & LIMA, J.L.S. 1982 Sociabilidade das espécies florestais da caatinga em Santa Maria da Boa Vista-PE. Boletim de Pesquisa Florestal 4: 47-59.",
Antonia ovata Pohl,Antonia ovata Pohl,"Piatã, nanofloresta decidual rupícola",Brazil,-13.001399993896,-41.768600463867,1322,Seasonally dry Deciduous Broadleaved Forest,"SANTOS, R.M. & QUEIROZ, L.P. 2008 Universidade Estadual de Feira de Santana, Feira de Santana, BA, Brazil. Checklists de áreas de caatinga e matas secas.",
Luehea divaricata Mart.,Luehea divaricata Mart.,"Ipanema, floresta semidecidual",Brazil,-19.803899765015,-41.707500457764,263,Seasonally dry Semideciduous Broadleaved Forest,"MEIRA-NETO, J.A.A.; SOUZA, A.L.; SILVA A.F. & PAULA, A. 1998 Estrutura de uma floresta estacional semidecidual insular em área diretamente afetada pela Usina Hidrelétrica de Pilar, Guaraciaba, Zona da Mata de Minas Gerais. Revista Árvore 22 (2): 179-184.",
Byrsonima sericea DC.,Byrsonima sericea DC.,"Barbalha, floresta decidual de brejo",Brazil,-7.376699924469,-39.313301086426,956,Seasonally dry Deciduous Broadleaved Forest,"TAVARES, S., PAIVA, F.A.F., TAVARES, E.J.S. & LIMA, J.L.S. 1974  Inventario florestal do Ceará. III - Estudo preliminar das matas remanescentes do município de Barbalha. Boletim de Recursos Naturais– SUDENE 12 (2): 20-46",
