DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
KERB_03348,KERB,E3348,SAO JOAQUIM,SANTA CATARINA,SC,Brazil,ABUNDANCE,,-28.471217,-49.83173,Study site,Rio Pelotas,Ferns,Polypodiaceae,Pleopeltis,pleopeltidis,Pleopeltis pleopeltidis,holoepiphyte,,,,,2014,2014,Abundance,1132,1638,19.6000003814697,Ombrophilous Forest,YES,
FUME_06747,FUME,E6767,BAEPENDI,MATO GROSSO DO SUL,MS,Brazil,,Mixed Ombrophilous Forest,-22.142,-44.7328,2000,Parque Estadual da Serra do Papagaio,Ferns,Polypodiaceae,Pleopeltis,macrocarpa,Pleopeltis macrocarpa,facultative,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,2012,2013,Presence_absence,1798,1890,17.1000003814697,Other,YES,
PERB_00071,PERB,E0072,RIO PRETO,MATO GROSSO DO SUL,MS,Brazil,,,-22.08919907,-43.82780075,20,"Serra Negra, Trilha da ponte em direcao ao Serrote de Sao Gabriel.",Angiosperms,Gesneriaceae,Nematanthus,crassifolius,Nematanthus crassifolius,holoepiphyte,,,,,2006,2006,Presence_only,515,1431,24.2000007629395,Seasonal Forest,YES,Example
FRAN_01332,FRAN,E1335,MIMOSO DO SUL,ESPIRITO SANTO,ES,Brazil,1,Primary Forest,-20.936667,-41.553333,Forest fragment,Pedra dos Pontoes:primeira mata nebular,Angiosperms,Cactaceae,Rhipsalis,teres,Rhipsalis teres,holoepiphyte,Nyctaginaceae,Guapira,opposita,Guapira opposita,2016,2016,Abundance,634,1391,20.3999996185303,Seasonal Forest,YES,
MENE2_28349,MENE2,E4775,WENCESLAU GUIMARAES,BAHIA,BA,Brazil,,,-13.5872223,-39.7119444,Coordinates given in the herbarium record,,Angiosperms,Bromeliaceae,Billbergia,saundersii,Billbergia saundersii,holoepiphyte,,,,,,,Presence_only,355,1202,22.6000003814697,Ombrophilous Forest,YES,
MENE2_23626,MENE2,E30569,PIRAQUARA,PARANA,PR,Brazil,,,-25.4417,-49.0633,Coordinates given in the herbarium record,,Angiosperms,Bromeliaceae,Vriesea,altodaserrae,Vriesea altodaserrae,holoepiphyte,,,,,,,Presence_only,913,1565,20.8999996185303,Ombrophilous Forest,YES,
KERB_11679,KERB,E11679,PARANAGUA,PARANA,PR,Brazil,ABUNDANCE,Low Restinga Forest,-25.521936,-48.316041,Forest fragment,Low height restinga forest,Angiosperms,Orchidaceae,Epidendrum,rigidum,Epidendrum rigidum,holoepiphyte,Aquifoliaceae,Ilex,pseudobuxus,Ilex pseudobuxus,1997,1999,Presence_only,,,,Ombrophilous Forest,YES,
KERB_12252,KERB,E12252,PIRAQUARA,PARANA,PR,Brazil,ABUNDANCE,Mixed Ombrophilous Forest,-25.528984,-49.012214,Forest fragment,Haras Santo Antonio,Ferns,Polypodiaceae,Pleopeltis,pleopeltidis,Pleopeltis pleopeltidis,holoepiphyte,Lauraceae,Ocotea,odorifera,Ocotea odorifera,2002,2006,Abundance,1015,1701,20.3999996185303,Ombrophilous Forest,YES,
JABOT_01543,JABOT,342533,APIAI,SAO PAULO,SP,Brazil,,,-24.34333,-48.60417,Coordinates given in the herbarium record,,Angiosperms,Bromeliaceae,Vriesea,flammea,Vriesea flammea,facultative,,,,,1999,1999,Presence_only,934,1398,21.2999992370605,Ombrophilous Forest,YES,
KERB_10899,KERB,E10899,PARANAGUA,PARANA,PR,Brazil,ABUNDANCE,High Restinga Forest,-25.521936,-48.316041,Forest fragment,High height restinga forest,Ferns,Polypodiaceae,Microgramma,vacciniifolia,Microgramma vacciniifolia,holoepiphyte,Myrtaceae,Eugenia,sulcata,Eugenia sulcata,2000,2002,Presence_only,,,,Ombrophilous Forest,YES,
