scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Byrsonima correifolia,Malpighiaceae,Byrsonima correifolia A.Juss.,Malpighiaceae,Byrsonima correifolia,A.Juss.,flowering plants,Accepted,Malpighiaceae,A.Juss.,-13.55,-41.95,,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
,Dioscoreaceae,Dioscorea,Dioscoreaceae,Dioscorea,L.,flowering plants,Accepted,Dioscoreaceae,L.,,,1996-03-31,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
Qualea multiflora,Vochysiaceae,Qualea multiflora Mart. subsp. pubescens (Mart.) Stafleu,Vochysiaceae,Qualea multiflora subsp. pubescens,(Mart.) Stafleu,flowering plants,Accepted,Vochysiaceae,(Mart.) Stafleu,-15.77972,-47.92944,1979-12-10,NY,NY,NY,NY,Herbarium,104,1
Tetracera amazonica,Dilleniaceae,Tetracera amazonica,Dilleniaceae,Tetracera amazonica,Kubitzki,flowering plants,Accepted,Dilleniaceae,Kubitzki,-2.883333,-59.966667,1995-01-01,SpeciesLink,INPA,INPA,INPA,INPA-Herbario,619,1
,Gramineae,Saccharum,Poaceae,Saccharum,L.,flowering plants,Accepted,Poaceae,L.,-29.443611,-50.605833,2011-05-19,SpeciesLink,UnB,UnB,UnB,UB,1227,1
Vochysia thyrsoidea,Vochysiaceae,Vochysia thyrsoidea Pohl,Vochysiaceae,Vochysia thyrsoidea,Pohl,flowering plants,Accepted,Vochysiaceae,Pohl,-10.36667,-41.33333,1974-03-08,GBIF,MNHN,MNHN,MNHN,P,3541,1
Geonoma elegans,Arecaceae,Geonoma elegans Mart.,Arecaceae,Geonoma elegans,Mart.,flowering plants,Accepted,Arecaceae,Mart.,-18.871944,-40.812778,2007-05-19,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
Acnistus arborescens,Solanaceae,Acnistus arborescens (L.) Schltdl.,Solanaceae,Acnistus arborescens,(L.) Schltdl.,flowering plants,Accepted,Solanaceae,(L.) Schltdl.,-22.28194,-42.53083,1946-09-01,NY,NY,NY,NY,Herbarium,104,1
,Onagraceae,Ludwigia,Onagraceae,Ludwigia,L.,flowering plants,Accepted,Onagraceae,L.,-28.045278,-55.195556,1989-05-22,SpeciesLink,PUCRS,PUCRS,PUCRS,MPUC,681,1
,Rhamnaceae,Rhamnaceae,Rhamnaceae,Rhamnaceae,Juss.,flowering plants,Accepted,Rhamnaceae,Juss.,-13.891111,-39.690833,2013-07-20,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
,Fabaceae,Fabaceae,Fabaceae,Fabaceae,Lindl.,flowering plants,Accepted,Fabaceae,Lindl.,-7.270472,-39.456194,2008-05-24,GBIF,Universidade Regional do Cariri (URCA),Universidade Regional do Cariri (URCA),Universidade Regional do Cariri (URCA),HCDAL,2040,1
Margaritaria nobilis,Phyllanthaceae,Margaritaria nobilis L.f.,Phyllanthaceae,Margaritaria nobilis,L. f.,flowering plants,Accepted,Phyllanthaceae,L. f.,-11.372972,-37.434444,2013-07-12,GBIF,"Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS",ASE,3114,1
Dichorisandra hexandra,Commelinaceae,Dichorisandra hexandra Standl.,Commelinaceae,Dichorisandra hexandra,(Aubl.) Standl.,flowering plants,Accepted,Commelinaceae,(Aubl.) Standl.,-10.365278,-40.198611,2005-07-28,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Potalia amara,Gentianaceae,Potalia amara Aubl.,Gentianaceae,Potalia amara,Aubl.,flowering plants,Accepted,Gentianaceae,Aubl.,-9.438611,-64.776111,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Sida rhombifolia,Malvaceae,Sida rhombifolia L.,Malvaceae,Sida rhombifolia,L.,flowering plants,Accepted,Malvaceae,L.,-10.8339,-52.8731,,GBIF,F,F,F,Botany,3567,1
,Lepidoziaceae,Micropterygium Lindenb.,Lepidoziaceae,Micropterygium,,bryophytes,Accepted,Lepidoziaceae,,0.874722,-63.3425,2011-08-17,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Cyanocephalus rugosus,Lamiaceae,Cyanocephalus rugosus (Benth.) Harley & J.F.B.Pastore,Lamiaceae,Cyanocephalus rugosus,(Benth.) Harley & J.F.B. Pastore,flowering plants,Accepted,Lamiaceae,(Benth.) Harley & J.F.B. Pastore,-13.116667,-41.916667,1992-08-20,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Emmeorhiza umbellata,Rubiaceae,Emmeorhiza umbellata (Spreng.) K. Schum.,Rubiaceae,Emmeorhiza umbellata,(Spreng.) K. Schum.,flowering plants,Accepted,Rubiaceae,(Spreng.) K. Schum.,-17.73111,-49.09917,1970-07-25,NY,NY,NY,NY,Herbarium,104,1
Inga thibaudiana,Leguminosae-Mim.,Inga thibaudiana,Fabaceae,Inga thibaudiana,DC.,flowering plants,Accepted,Fabaceae,DC.,-20.848889,-41.1125,1986-07-22,SpeciesLink,UFES,UFES,UFES,VIES,1307,1
Casearia obliqua,Salicaceae,Casearia obliqua Spreng.,Salicaceae,Casearia obliqua,Spreng.,flowering plants,Accepted,Salicaceae,Spreng.,,,2015-01-06,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
Mitracarpus frigidus,Rubiaceae,Mitracarpus frigidus K.Schum.,Rubiaceae,Mitracarpus frigidus,(Willd. ex Roem. & Schult.) K. Schum.,flowering plants,Accepted,Rubiaceae,(Willd. ex Roem. & Schult.) K. Schum.,-10.362778,-40.202222,2005-07-28,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
,Polypodiaceae,Polypodiaceae,Polypodiaceae,Polypodiaceae,J. Presl & C. Presl,ferns and allies,Accepted,Polypodiaceae,J. Presl & C. Presl,-15.391667,-39.565278,2005-07-09,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Paepalanthus erigeron,Eriocaulaceae,Paepalanthus erigeron Mart. ex Körn.,Eriocaulaceae,Paepalanthus erigeron,Mart. ex Körn.,flowering plants,Accepted,Eriocaulaceae,Mart. ex Körn.,-12.756111,-41.510556,2009-06-03,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
,LEGUMINOSAE PAPILIONOIDEAE,Mucuna pruriens (L.)DC.,,Leguminosae,,flowering plants,Accepted,,,-11.2777778,-38.9894444,2011-06-16,SpeciesLink,JBRJ,JBRJ,JBRJ,JBRJ_RB,249,1
Conobea scoparioides,Plantaginaceae,Conobea scoparioides Benth.,Plantaginaceae,Conobea scoparioides,(Cham. & Schltdl.) Benth.,flowering plants,Accepted,Plantaginaceae,(Cham. & Schltdl.) Benth.,-14.633333,-52.233333,1968-04-05,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
