database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode
IDIGBIO_5,Coussarea acrensis C.M. Taylor,-10.0666667,-67.5666667,7e4df881-f532-4818-8d26-37984e804c5d,NA,Brazil,Acre,NA,"Senador Guiomard; Fazenda Experimental Catauba, 27km from RIo Branco on road BR-364 to Porto Velho",NA,PreservedSpecimen,"C.M. Taylor, Paratype",NA,Piero G. Delprete|M. Oliveira,Brazil,BR
IDIGBIO_11,Crotalaria,-23.416667,-51.95,01bdd102-de56-4b29-9631-57dbf0eb4df4,NA,Brasil,Paraná,NA,"distrito de Iguatemi, Campus UEM, Fazenda Experime",NA,PreservedSpecimen,NA,NA,G.C.Mantovanelli; F.A.Rios,Brazil,BR
IDIGBIO_15,Ocotea laxa (Nees) Mez,-25.4769,-48.8342,775655fa-be84-4db2-b9f1-ab1b93afed07,1971-01-19,Brazil,Paraná,Morretes,"Serra Marumbi, picada ao Olimpo",NA,PreservedSpecimen,NA,30514,G. G. Hatschbach,Brazil,BR
IDIGBIO_16,Solanum paniculatum L.,-11,-42,dcba12d7-0f73-46b1-8edd-21e72c0182e9,1980-04-19,Brazil,Bahia,NA,NA,NA,PreservedSpecimen,RRC ID Flag,NA,R. Harley,Brazil,BR
IDIGBIO_19,Clidemia epiphytica (Triana) Cogn.,-4.696879,-69.5048332,d41300b6-eb71-4a99-bdfe-717c093616b1,1936-09-11/1936-10-26,Brazil,Amazonas,São Paulo de Olivença,Near Palmares. Basin of Rio Solimoes.,NA,PreservedSpecimen,F. A. Michelangeli,201650,B. A. Krukoff,Brazil,BR
NEOTROPTREE_1,Amaioua guianensis,-8.72444444444444,-35.1752777777778,AtlPE022,NA,Brasil,NA,NA,"Tamandaré, Saltinho, floresta pluvial",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_2,Matayba intermedia,-22.9294444444444,-42.9794444444444,AtlRJ033,NA,Brasil,NA,NA,"Niterói, Serra da Tiririca, floresta pluvial",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_3,Pagamea coriacea,-0.145833333333333,-66.9733333333333,AmzAM103,NA,Brasil,NA,NA,"Itacoatiara-Mirim, nanofloresta de areias brancas",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_4,Senna velutina,-13.405,-55.5744444444444,CerMT027,NA,Brasil,NA,NA,"Lucas do Rio Verde, cerrado",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_5,Myrsine umbellata,-23.8686111111111,-53.8466666666667,AtlPR129,NA,Brasil,NA,NA,"Altônia, floresta semidecídua",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_6,Compsoneura ulei,-8.13777777777778,-63.6194444444444,AmzRO032,NA,Brasil,NA,NA,"Porto Velho, Calama, savana arborizada brejosa",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_7,Cyathea corcovadensis,-23.8136111111111,-45.4675,AtlSP016,NA,Brasil,NA,NA,"São Sebastião, floresta pluvial",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_8,Myrciaria dubia,-3.28388888888889,-59.4844444444444,AmzAM223,NA,Brasil,NA,NA,"Careiro da Várzea, Paraná do Autaz-Mirim, floresta inundável de água negra",NA,NA,NA,NA,NA,Brazil,BR
NEOTROPTREE_9,Alchornea triplinervia,-24.5705555555556,-48.6163888888889,AtlSP032,NA,Brasil,NA,NA,"Iporanga, floresta pluvial",NA,NA,NA,NA,NA,Brazil,BR
