original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Sparattosperma leucanthum,NA,NA,accepted,GBIF:4094429,Sparattosperma leucanthum,species,accepted,GBIF:4094429,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Sparattosperma,leucanthum,NA,7298735,9005247,Schumann (Vell.),Tarumacillo
Oxypetalum pachyglossum,NA,NA,accepted,GBIF:3571163,Oxypetalum pachyglossum,species,accepted,GBIF:3571163,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,pachyglossum,NA,3170199,NA,Decne.,NA
Enterolobium contortisiliquum,NA,NA,accepted,GBIF:2961170,Enterolobium contortisiliquum,species,accepted,GBIF:2961170,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Enterolobium,contortisiliquum,NA,2961142,2961171,Morong (Vell.),Timbo Colorado
Diplazium ambiguum,NA,NA,accepted,GBIF:7719203,Diplazium ambiguum,species,accepted,GBIF:7719203,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Diplazium,ambiguum,NA,2650853,NA,Raddi,NA
Phyllanthus orbiculatus,NA,NA,accepted,GBIF:5382155,Phyllanthus orbiculatus,species,accepted,GBIF:5382155,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,orbiculatus,NA,3061139,NA,Rich.,NA
Aptychopsis pungifolia,NA,NA,accepted,GBIF:5283537,Aptychopsis pungifolia,species,accepted,GBIF:5283537,Plantae,Bryophyta,Bryopsida,Hypnales,Sematophyllaceae,Aptychopsis,pungifolia,NA,2680583,7691052,"Brotherus, 1925",NA
Hedyosmum brasiliense,NA,NA,accepted,GBIF:7733283,Hedyosmum brasiliense,species,accepted,GBIF:7733283,Plantae,Tracheophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,brasiliense,NA,3086513,NA,Miq.,NA
Sida glomerata,NA,NA,accepted,GBIF:5406736,Sida glomerata,species,accepted,GBIF:5406736,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,glomerata,NA,3152100,NA,Cav.,relogio
Vriesea procera,NA,NA,accepted,GBIF:5289136,Vriesea procera,species,accepted,GBIF:5289136,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,procera,NA,2699764,2700169,Wittm. (Mart. ex Schult. & Schult.f.),NA
Qualea grandiflora,NA,NA,accepted,GBIF:4030658,Qualea grandiflora,species,accepted,GBIF:4030658,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Vochysiaceae,Qualea,grandiflora,NA,7288308,NA,Mart.,pau terra de folha larga
