original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Piper miquelianum hirtellum,NA,NA,notFound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piptadenia stipulacea,NA,NA,accepted,GBIF:2951759,piptadenia stipulacea,species,accepted,GBIF:2951759,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Piptadenia,stipulacea,NA,2951753,2951761,Ducke (Benth.),NA
Tillandsia tenuifolia,NA,NA,accepted,GBIF:2695114,tillandsia tenuifolia,species,accepted,GBIF:2695114,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,tenuifolia,NA,8279994,NA,L.,narrowleaf airplant
Paepalanthus pulchellus,NA,NA,accepted,GBIF:5287046,paepalanthus pulchellus,species,accepted,GBIF:5287046,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Paepalanthus,pulchellus,NA,8424714,NA,Herzog,NA
Mimosa pigra pigra,NA,NA,accepted,GBIF:2969882,mimosa pigra pigra,variety,accepted,GBIF:2969882,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,pigra,pigra,2969431,NA,NA,black mimosa
Rhynchanthera cordata brachyrhyncha,NA,NA,accepted,GBIF:3862212,rhynchanthera cordata brachyrhyncha,variety,accepted,GBIF:3862212,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Rhynchanthera,cordata,brachyrhyncha,7272969,NA,Cogn.,NA
Eugenia brevistyla,NA,NA,accepted,GBIF:5416681,eugenia brevistyla,species,accepted,GBIF:5416681,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,brevistyla,NA,3177662,NA,D.Legrand,NA
Centrosema virginianum,NA,NA,accepted,GBIF:2964906,centrosema virginianum,species,accepted,GBIF:2964906,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Centrosema,virginianum,NA,2964887,2964942,Benth. (L.),zapatito de la reina
Calliandra viscidula,NA,NA,accepted,GBIF:2981809,calliandra viscidula,species,accepted,GBIF:2981809,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,viscidula,NA,2981784,NA,Benth.,NA
Gaultheria serrata serrata,NA,NA,accepted,GBIF:7328190,gaultheria serrata serrata,variety,accepted,GBIF:7328190,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,serrata,serrata,8190809,NA,NA,NA
