database_id,verbatim_scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode,.uncer_terms,original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,.rou,.val,.equ,.zer,.cap,.cen,.urb,.otl,.gbf,.inst,.dpl,.eventDate_empty,year,.year_outOfRange,.summary
BIEN_18,Oldenlandia filicaulis,-14.266667,-42.526111,2756,2006-01-10,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Oldenlandia filicaulis,NA,NA,accepted,GBIF:2915856,Oldenlandia filicaulis,species,accepted,GBIF:2915856,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Oldenlandia,filicaulis,NA,2915706,NA,K.Schum.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2006,TRUE,TRUE
BIEN_19,Bauhinia brevipes,-12.871667,-46.97,1928,2009-06-29,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Bauhinia brevipes,NA,NA,accepted,GBIF:2953099,Bauhinia brevipes,species,accepted,GBIF:2953099,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,brevipes,NA,2952935,NA,Vogel,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2009,TRUE,TRUE
BIEN_20,Paspalum guttatum,-11.688056,-47.7025,3120,2014-11-20,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Paspalum guttatum,NA,NA,accepted,GBIF:4110078,Paspalum guttatum,species,accepted,GBIF:4110078,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,guttatum,NA,2705540,NA,Trin.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2014,TRUE,TRUE
DRYFLOR_1,Miconia minutiflora (Bonpl.) DC.,-20.844999313354,-44.91609954834,NA,NA,Brazil,NA,NA,"Santo Antônio do Amparo, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Miconia minutiflora,NA,NA,accepted,GBIF:3860591,Miconia minutiflora,species,accepted,GBIF:3860591,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,minutiflora,NA,3188558,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
DRYFLOR_2,Zanthoxylum rhoifolium Lam.,-8.1581001281738,-35.753898620605,NA,NA,Brazil,NA,NA,"Bezerros, floresta semidecidual de brejo",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Zanthoxylum rhoifolium,NA,NA,accepted,GBIF:7269222,Zanthoxylum rhoifolium,species,accepted,GBIF:7269222,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,rhoifolium,NA,3190076,NA,Lam.,tinguaciba,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
DRYFLOR_3,Ocotea velutina (Nees) Rohwer,-21.132499694824,-44.709400177002,NA,NA,Brazil,NA,NA,"Ibituruna, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Ocotea velutina,NA,NA,accepted,GBIF:4181077,Ocotea velutina,species,accepted,GBIF:4181077,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,velutina,NA,3034076,7304210,Rohwer (Nees),NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
DRYFLOR_4,Sweetia fruticosa Spreng.,-18.089000701904,-45.182998657227,NA,NA,Brazil,NA,NA,"Três Marias, floresta decidual",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Sweetia fruticosa,NA,NA,accepted,GBIF:5358234,Sweetia fruticosa,species,accepted,GBIF:5358234,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sweetia,fruticosa,NA,8072780,NA,Spreng.,sucupira preta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
DRYFLOR_5,Bauhinia cheilantha (Bong.) Steud.,-15.003100395203,-43.900299072266,NA,NA,Brazil,NA,NA,"Matias Cardoso, Cajueiro, caatinga arbórea",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Bauhinia cheilantha,NA,NA,accepted,GBIF:2952938,Bauhinia cheilantha,species,accepted,GBIF:2952938,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,cheilantha,NA,2952935,2952939,Steud. (Bong.),Unha de vaca,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
DRYFLOR_6,Senna pendula (Willd.) H.S.Irwin & Barneby,-21.568899154663,-50.739700317383,NA,NA,Brazil,NA,NA,"Salmourão, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Senna pendula,NA,NA,accepted,GBIF:2957187,Senna pendula,species,accepted,GBIF:2957187,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,pendula,NA,2956904,5354027,H.S.Irwin & Barneby (Humb. & Bonpl. ex Willd.),yerba del burro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
DRYFLOR_7,Cecropia hololeuca Miq.,-17.83219909668,-40.280799865723,NA,NA,Brazil,NA,NA,"Nanuque, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR,TRUE,Cecropia hololeuca,NA,NA,accepted,GBIF:4013377,Cecropia hololeuca,species,accepted,GBIF:4013377,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,hololeuca,NA,2984472,NA,Miq.,embaubacu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
