sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,input,notes,original.search,distance
14332,GBIF:2867803,Heteropsis,genus,accepted,GBIF:2867803,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Heteropsis,,,6979,,Kunth,,Heteropsis,|check +1 accepted,Heteropsis,0
14952,GBIF:2942716,Crotalaria pallida obovata,variety,accepted,GBIF:2942716,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,pallida,obovata,8260433,2942717,Polhill (G.Don),smooth rattlebox,Crotalaria pallida obovata,|check +1 accepted,Crotalaria pallida obovata,0
15053,GBIF:5361932,Ficus benjamina,species,accepted,GBIF:5361932,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,benjamina,,2984588,,L.,垂榕;白榕;白肉榕,Ficus benjamina,|check +1 accepted,Ficus benjamina,0
15094,GBIF:9622925,Bryopsis pennata secunda,subspecies,accepted,GBIF:9622925,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,pennata,secunda,5272060,,"Collins & Hervey, 1917 (Harvey)",偏列羽藻,Bryopsis pennata secunda,|check +1 accepted,Bryopsis pennata secunda,0
15176,GBIF:5361909,Ficus carica,species,accepted,GBIF:5361909,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,carica,,2984588,,L.,無花果,Ficus carica,|check +1 accepted,Ficus carica,0
15317,GBIF:3086569,Eclipta,genus,accepted,GBIF:3086569,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,,,3065,,L.,eclipta,Eclipta,|check +1 accepted,Eclipta,0
15345,GBIF:3863737,Miconia tristis australis,subspecies,accepted,GBIF:3863737,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,tristis,australis,7601120,,Wurdack,,Miconia tristis australis,|check +1 accepted,Miconia tristis australis,0
15553,GBIF:8878950,Aechmea ramosa festiva,subspecies,accepted,GBIF:8878950,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,ramosa,festiva,2697815,,L.B.Sm.,,Aechmea ramosa festiva,|check +1 accepted,Aechmea ramosa festiva,0
15574,GBIF:2947798,Phaseolus,genus,accepted,GBIF:2947798,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,,,5386,,L.,wild bean,Phaseolus,|check +1 accepted,Phaseolus,0
15710,GBIF:7521361,Vesicularia,genus,accepted,GBIF:7521361,Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Vesicularia,,,8751,,Müll.Hal. (Müll.Hal.),,Vesicularia,|check +1 accepted,Vesicularia,0
15917,GBIF:7347373,Aeschynomene americana americana,subspecies,accepted,GBIF:7347373,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,americana,americana,2949235,,,,Aeschynomene americana americana,|check +1 accepted,Aeschynomene americana americana,0
15934,GBIF:3091361,Jaegeria,genus,accepted,GBIF:3091361,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,,,3065,,Kunth,,Jaegeria,|check +1 accepted,Jaegeria,0
16019,GBIF:2945830,Erythrina,genus,accepted,GBIF:2945830,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Erythrina,,,5386,,L.,"coral-bean, coraltree",Erythrina,|check +1 accepted,Erythrina,0
16042,GBIF:3795359,Mimosa gracilis stipitata,variety,accepted,GBIF:3795359,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gracilis,stipitata,2969402,,Barneby,,Mimosa gracilis stipitata,|check +1 accepted,Mimosa gracilis stipitata,0
