datelastmodified,institutioncode,collectioncode,catalognumber,scientificname,basisofrecord,kingdom,phylum,class,ordem,family,genus,species,subspecies,scientificnameauthor,identifiedby,yearidentified,monthidentified,dayidentified,typestatus,collectornumber,fieldnumber,collector,yearcollected,monthcollected,daycollected,julianday,timeofday,continentocean,country,stateprovince,county,locality,longitude,latitude,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode
2020-07-23T15:17:00Z,CEPLAC,CEPEC,59160,Ludwigia leptocarpa,PreservedSpecimen,Plantae,NA,NA,NA,Onagraceae,Ludwigia,leptocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,G. Hatschbach,NA,NA,NA,NA,NA,NA,Brasil,Bahia,NA,"Salto do Fraga, margem do rio.",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-24T14:11:08Z,EAO,IAN,123863,Epidendrum musciferum,PreservedSpecimen,Plantae,NA,NA,NA,Orchidaceae,Epidendrum,musciferum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oliveira, E",NA,NA,NA,NA,NA,NA,Brasil,Amapá,NA,Cachoeira de Santo Antônio do Jari.,-52.916667,-0.916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planta sobre pedras, flores vermelho escuro.",NA
2020-04-27T19:11:31Z,UFES,VIES,46966,Randia armata,S,Plantae,NA,NA,NA,Rubiaceae,Randia,armata,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Firmino, A.D.; Valadares, R.T.",NA,NA,NA,NA,NA,NA,Brasil,Espírito Santo,NA,"Reserva de Comboios, próximo à reserva indígena. Ponto de amostragem 8.",-39.931944,-19.696944,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-26T15:51:12Z,INPA,INPAW,9881,Ocotea duplocolorata,S,Plantae,NA,NA,NA,Lauraceae,Ocotea,duplocolorata,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silva, N.T.",NA,NA,NA,NA,NA,NA,Brasil,Par&#225;,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-20T17:25:20Z,INPA,INPA,153431,Bocageopsis multiflora,S,Plantae,NA,NA,Magnoliales,Annonaceae,Bocageopsis,multiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferreira, CAC",NA,NA,NA,NA,NA,NA,Brasil,Rondônia,NA,"Chapada dos Pacaás Novos em depressão da Chapada. Projeto de Assentamento do INCRA linha 10, a 06 km da cidade de Guajará-Mirim.",-65.283333,-10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-21T13:04:52Z,IBt,SP,41209,Arachis major,S,Plantae,NA,NA,NA,Fabaceae,Arachis,major,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otero, JR; Moreira, A",NA,NA,NA,NA,NA,NA,Brasil,Mato Grosso do Sul,NA,"Fazenda Santa Virginia, Do Sr. Oscar F.Barros a 7 leguas de Aquidauana",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-16T12:39:32Z,MBM,MBM,120319,Microgramma vacciniifolia,S,Plantae,NA,NA,NA,Polypodiaceae,Microgramma,vacciniifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kuniyoshi, Y.S.; Galvão, F.; Galvão, F.",NA,NA,NA,NA,NA,NA,Brazil,Paraná,NA,"Morretes, arredores",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-17T13:26:39Z,PUCRS,MPUC,258,Eugenia multiflora,S,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,multiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasil,RS,NA,.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-11-07T14:15:31Z,UFMG,BHCB-SL,141628,Blechnum occidentale,PreservedSpecimen,Plantae,NA,NA,NA,Blechnaceae,Blechnum,occidentale,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salino, A; Almeida, TE; Gasper, AL de",NA,NA,NA,NA,NA,NA,Brasil,Santa Catarina,NA,"Caminho para o Parque Nacional da Serra do Itajaí, Estrada de terra, Floresta Ombrófila Densa",-49.080833,-26.926944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,erva terrestre em barranco a beira de estrada,NA
2019-11-19T17:07:26Z,UFRPE,PEUFR,6143,Rhaphiodon echinus,PreservedSpecimen,Plantae,NA,NA,NA,Lamiaceae,Rhaphiodon,echinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.P. Heiger; D.A. Lima; J.P.L. Sobrinho; A.C. Sarmento,NA,NA,NA,NA,NA,NA,Brasil,Pernambuco,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erva semi-escandente, 60-90cm, flor roxo intenso",NA
2019-09-02T13:45:21Z,UNICAMP,UEC,165160,Aspidosperma eteanum,S,Plantae,NA,NA,NA,Apocynaceae,Aspidosperma,eteanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goldenberg, R; Zartman, CE; Kimura, D; Holanda, AS",NA,NA,NA,NA,NA,NA,Brazil,Roraima,NA,Parque Nacional do Viruá. entre o alojamento e o Morro do Viruá.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Árvore recém-caída. com látex amarelo (vermelho no interior dos ramos); fruto verdes-enegrecidos.; Floresta Ombrófila Aberta.,NA
2020-07-28T14:05:54Z,UFC,EAC,22500,Zornia latifolia,PreservedSpecimen,Plantae,NA,NA,NA,Fabaceae,Zornia,latifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Araújo, F.S.",NA,NA,NA,NA,NA,NA,Brasil,Ceará,NA,"Planalto da Ibiapaba, Jaburuna Sul",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erva.,NA
2019-11-19T17:06:56Z,UFRPE,PEUFR,8398,Jatropha mollissima,PreservedSpecimen,Plantae,NA,NA,NA,Euphorbiaceae,Jatropha,mollissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,M. Sales; M. Rodal,NA,NA,NA,NA,NA,NA,Brasil,Paraíba,NA,Fazenda José Nunes,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arbusto com flores amarelas,NA
2020-06-30T13:56:09Z,UFRGS,ICN,188832,Pontederia cordata,S,Plantae,NA,NA,NA,Pontederiaceae,Pontederia,cordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,Brasil,RS,NA,arroio Caibaté,-50.786389,-29.958611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0520615/6685782,NA
