DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
CEBA_00883,CEBA,NA,GUARANI,MISIONES,N,Argentina,DEGINANI 1194,NA,-27.14612,-53.90665,NA,NA,Angiosperms,Orchidaceae,Polystachya,foliosa,Polystachya foliosa,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,141,1749,25.2999992370605,NA,YES,"Orillas del Arroyo Yaboti, ca. puente, Ruta proyectada 102. 270 m s.m. 09-05-99"
MENE2_29048,MENE2,E5474,SANTA TERESA,ESPIRITO SANTO,ES,Brazil,NA,NA,-19.9075,-40.553056,Coordinates given in the herbarium record,Reserva Biologica Augusto Ruschi - Nova Lombardia,Angiosperms,Orchidaceae,Campylocentrum,aromaticum,Campylocentrum aromaticum,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,702,1316,22.7999992370605,Ombrophilous Forest,YES,NA
MENE2_02533,MENE2,E11393,MAFRA,SANTA CATARINA,SC,Brazil,NA,NA,-26.279381,-49.681358,Coordinates given in the herbarium record,Rio da Areia de Baixo / Avencal Mato Preto,Angiosperms,Cactaceae,Lepismium,lumbricoides,Lepismium lumbricoides,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,932,1378,20.7999992370605,Ombrophilous Forest,YES,NA
KERB_03509,KERB,E3509,SAO JOAQUIM,SANTA CATARINA,SC,Brazil,ABUNDANCE,NA,-28.471217,-49.83173,Study site,Rio Pelotas,Ferns,Polypodiaceae,Campyloneurum,austrobrasilianum,Campyloneurum austrobrasilianum,holoepiphyte,NA,NA,NA,NA,2014,2014,Abundance,1132,1638,19.6000003814697,Ombrophilous Forest,YES,NA
MENE2_14235,MENE2,E22031,TAMARANA,PARANA,PR,Brazil,NA,NA,-23.896389,-51.167778,Coordinates given in the herbarium record,mata do Pinhao Forofito T1P3A,Angiosperms,Orchidaceae,Specklinia,grobyi,Specklinia grobyi,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,995,1549,20.7000007629395,Ombrophilous Forest,YES,NA
FUME_05889,FUME,E5908,SANTA RITA DE IBITIPOCA,MATO GROSSO DO SUL,MS,Brazil,NA,Cloud Forest,-21.67837,-43.88229,100,"Parque Estadual do Ibitipoca, Gruta dos Tres Arcos",Angiosperms,Orchidaceae,Dichaea,cogniauxiana,Dichaea cogniauxiana,holoepiphyte,Aquifoliaceae,Ilex,theezans,Ilex theezans,NA,NA,Presence_absence,1714,1772,18,Seasonal Forest,YES,NA
MENE2_15875,MENE2,E23522,GUARAPUAVA,PARANA,PR,Brazil,NA,NA,-25.3953,-51.4581,Coordinates given in the herbarium record,Parque Municipal das Araucarias,Angiosperms,Orchidaceae,Acianthera,sonderiana,Acianthera sonderiana,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,942,1714,20.2000007629395,Savanna,YES,NA
NUNE_02450,NUNE,AD627,CACHOEIRAS DE MACACU,RIO DE JANEIRO,RJ,Brazil,C200P4A2,Secondary Forest,-22.40805556,-42.7375,5,Reserva Ecologica de Guapiacu -inicio Trilha Verde/cinza-,Ferns,Polypodiaceae,Microgramma,squamulosa,Microgramma squamulosa,holoepiphyte,NA,NA,NA,NA,2012,2016,Presence_only,226,1518,24.5,Ombrophilous Forest,YES,507
KESS_00781,KESS,E0781,CARAGUATATUBA,SAO PAULO,SP,Brazil,NA,NA,-23.62,-45.41,Municipality,NA,Angiosperms,Bromeliaceae,Vriesea,gigantea,Vriesea gigantea,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,NA,2074,26.7000007629395,NA,YES,NA
MENE2_17813,MENE2,E25284,FLORIANOPOLIS,SANTA CATARINA,SC,Brazil,NA,NA,-27.769722,-48.490278000000004,Coordinates given in the herbarium record,Parque Municipal da Lagoa do Peri,Angiosperms,Cactaceae,Rhipsalis,grandiflora,Rhipsalis grandiflora,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,NA,NA,NA,NA,YES,NA
PERB_00944,PERB,E1034,RIO DE JANEIRO,RIO DE JANEIRO,RJ,Brazil,NA,NA,-22.9083,-43.1971,Municipality,SUMARE.,Angiosperms,Gesneriaceae,Nematanthus,crassifolius,Nematanthus crassifolius,holoepiphyte,NA,NA,NA,NA,1967,1967,Presence_only,20,1249,26.2999992370605,Ombrophilous Forest,YES,Example
FOUN_00033,FOUN,33,SAQUAREMA,RIO DE JANEIRO,RJ,Brazil,2,Dry Forest,-22.927467,-42.446222,Google Earth,Reserva Ecologica de Jacarepia,Angiosperms,Bromeliaceae,Aechmea,fasciata,Aechmea fasciata,holoepiphyte,Rubiaceae,Alseis,involuta,Alseis involuta,1994,1995,Abundance,2,1023,25.7000007629395,NA,YES,NA
MENE_01441,MENE,E1458,JUIZ DE FORA,MATO GROSSO DO SUL,MS,Brazil,NA,Urban Green Area,-21.7925,-43.3669,100,Parque Natural Municipal da Lajinha,Ferns,Polypodiaceae,Pleopeltis,pleopeltifolia,Pleopeltis pleopeltifolia,holoepiphyte,Casuarinaceae,Casuarina,equisetifolia,Casuarina equisetifolia,2015,2016,Presence_only,774,1503,22.7000007629395,Seasonal Forest,YES,NA
MENE2_05082,MENE2,E13710,SAO MARTINHO,SANTA CATARINA,SC,Brazil,NA,NA,-28.08,-48.87,Coordinates given in the herbarium record,Chicao - Vargem do Cedro/Parque Estadual da Serra do Tabuleiro,Angiosperms,Gesneriaceae,Nematanthus,australis,Nematanthus australis,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,621,1605,21.3999996185303,Ombrophilous Forest,YES,NA
MENE2_32499,MENE2,E8925,SANTA MARIA DE JETIBA,ESPIRITO SANTO,ES,Brazil,NA,NA,-19.976944,-40.644167,Coordinates given in the herbarium record,-Santa Leopoldina- Rio Nove,Angiosperms,Orchidaceae,Epidendrum,ramosum,Epidendrum ramosum,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,907,1329,22.2000007629395,Ombrophilous Forest,YES,NA
BREI_00816,BREI,E816,SETE BARRAS,SAO PAULO,SP,Brazil,T.B. BREIER 0583,Primary Forest,-24.168333,-47.936111,5000,Parque Estadual Carlos Botelho,Angiosperms,Orchidaceae,Stelis,deregularis,Stelis deregularis,holoepiphyte,NA,NA,NA,NA,2002,2005,Presence_only,489,1511,22.7000007629395,Ombrophilous Forest,YES,NA
MENE2_23165,MENE2,E3015,ANTONIO CARLOS,SANTA CATARINA,SC,Brazil,NA,NA,-27.539444,-48.870278,Coordinates given in the herbarium record,Santa Maria,Angiosperms,Araceae,Anthurium,pentaphyllum,Anthurium pentaphyllum,hemiepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,249,1626,22.8999996185303,Ombrophilous Forest,YES,NA
KERB_11413,KERB,E11413,PARANAGUA,PARANA,PR,Brazil,ABUNDANCE,Low Restinga Forest,-25.521936,-48.316041,Forest fragment,Low height restinga forest,Angiosperms,Gesneriaceae,Codonanthe,gracilis,Codonanthe gracilis,holoepiphyte,Erythroxylaceae,Erythroxylum,umbu,Erythroxylum umbu,1997,1999,Presence_only,NA,NA,NA,Ombrophilous Forest,YES,NA
KERB_05838,KERB,E5838,BALSA NOVA,PARANA,PR,Brazil,ABUNDANCE,Secondary Forest,-25.553261,-49.808853,Forest fragment,Ponte dos Arcos,Angiosperms,Orchidaceae,Trichocentrum,pumilum,Trichocentrum pumilum,holoepiphyte,Euphorbiaceae,Gymnanthes,klotzschiana,Gymnanthes klotzschiana,2002,2006,Abundance,882,1364,21.2000007629395,Other,YES,NA
GOSI_00421,GOSI,E2223,SANTA MARIA DE JETIBA,ESPIRITO SANTO,ES,Brazil,NA,Secondary Forest,-20.041,-40.746,Municipality,NA,Angiosperms,Bromeliaceae,Vriesea,seideliana,Vriesea seideliana,holoepiphyte,NA,NA,NA,NA,2014,2017,Presence_only,787,1285,23.2999992370605,Ombrophilous Forest,YES,NA
FUME_07882,FUME,E7920,BAEPENDI,MATO GROSSO DO SUL,MS,Brazil,NA,Mixed and Dense Ombrophilous Forest,-22.1428,-44.7286,3000,Parque Estadual da Serra do Papagaio,Angiosperms,Orchidaceae,Anathallis,bocainensis,Anathallis bocainensis,holoepiphyte,NA,NA,NA,NA,2012,2013,Presence_only,1798,1890,17.1000003814697,Other,YES,NA
MENE2_13583,MENE2,E21439,CASTELO,ESPIRITO SANTO,ES,Brazil,NA,NA,-20.519167,-41.100556,Coordinates given in the herbarium record,Parque Estadual do Forno Grande,Angiosperms,Melastomataceae,Pleiochiton,blepharodes,Pleiochiton blepharodes,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,1826,1552,16.7000007629395,Ombrophilous Forest,YES,NA
CBOE_00507,CBOE,Tree98,SAO FRANCISCO DE PAULA,RIO GRANDE DO SUL,RS,Brazil,PA1,Araucaria Plantation,-29.435704,-50.373417,Central point in study site,Floresta Nacional de Sao Francisco de Paula.,Angiosperms,Bromeliaceae,Tillandsia,aeranthos,Tillandsia aeranthos,holoepiphyte,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,2007,2007,Abundance,917,2068,19.5,Savanna,YES,NA
KERB_00342,KERB,E0342,ANTONINA,PARANA,PR,Brazil,ABUNDANCE,Secondary Forest,-25.378213,-48.800209,Forest fragment,RPPN Morro da mina,Angiosperms,Bromeliaceae,Vriesea,rodigasiana,Vriesea rodigasiana,holoepiphyte,NA,NA,NA,NA,2006,2009,Presence_only,79,2008,26.1000003814697,Ombrophilous Forest,YES,NA
ALAU_00013,ALAU,PEFI0013,SAO PAULO,SAO PAULO,SP,Brazil,1,Urban Green Area,-23.639894,-46.616592,Study site,PEFI,Angiosperms,Bromeliaceae,Aechmea,nudicaulis,Aechmea nudicaulis,holoepiphyte,NA,NA,NA,NA,2006,2008,Abundance,687,1384,20.8999996185303,Ombrophilous Forest,YES,NA
