scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Neoraputia trifoliata,Rutaceae,Neoraputia trifoliata (Engl.) M.Emmerich,Rutaceae,Neoraputia trifoliata,(Engl.) Emmerich,flowering plants,Accepted,Rutaceae,(Engl.) Emmerich,-14.424167,-39.060556,NA,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Jacaranda bracteata,Bignoniaceae,Jacaranda bracteata Bureau & K. Schum.,Bignoniaceae,Jacaranda bracteata,Bureau & K. Schum.,flowering plants,Accepted,Bignoniaceae,Bureau & K. Schum.,-18.08667,-39.55056,1983-10-19,NY,NY,NY,NY,Herbarium,104,1
Blechnum polypodioides,Blechnaceae,Blechnum polypodioides Raddi,Blechnaceae,Blechnum polypodioides,Raddi,ferns and allies,Accepted,Blechnaceae,Raddi,-19.484389,-41.336083,2009-05-23,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB-SL,2515,1
NA,Rhamnaceae,Rhamnaceae,Rhamnaceae,Rhamnaceae,Juss.,flowering plants,Accepted,Rhamnaceae,Juss.,-7.583333,-60.666667,1985-04-24,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Trichilia pallens,Meliaceae,Trichilia pallens C.DC.,Meliaceae,Trichilia pallens,C. DC.,flowering plants,Accepted,Meliaceae,C. DC.,-24.1101,-47.5535,2002-04-22,GBIF,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","Escola Superior de Agricultura Luiz de Queiroz, ESALQ",ESA,2472,1
Leandra tetraquetra,Melastomataceae,Leandra tetraquetra Cogn.,Melastomataceae,Leandra tetraquetra,Cogn.,flowering plants,Accepted,Melastomataceae,Cogn.,-27.096944,-49.139444,2009-11-23,GBIF,"Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB",FURB,1646,1
Xyris ciliata,Xyridaceae,Xyris ciliata Thunb.,Xyridaceae,Xyris ciliata,Thunb.,flowering plants,Accepted,Xyridaceae,Thunb.,-17.333,-39.3,1993-10-19,NY,NY,NY,NY,Herbarium,104,1
Rhynchospora contracta,Cyperaceae,Rhynchospora contracta (Nees) J.Raynal,Cyperaceae,Rhynchospora contracta,(Nees) J. Raynal,flowering plants,Accepted,Cyperaceae,(Nees) J. Raynal,-4.607028,-39.402222,2008-06-26,GBIF,"Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC",EAC,2420,1
NA,Violaceae,Hybanthus Jacq.,Violaceae,Hybanthus,Jacq.,flowering plants,Accepted,Violaceae,Jacq.,-17.236667,-53.797222,1995-09-17,GBIF,Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),CPAP,2018,1
NA,Euphorbiaceae,Acalypha,Euphorbiaceae,Acalypha,L.,flowering plants,Accepted,Euphorbiaceae,L.,-12.853611,-39.475556,2010-10-25,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
Mesosetum loliiforme,Poaceae,Mesosetum loliiforme Chase,Poaceae,Mesosetum loliiforme,(Hochst. ex Steud.) Chase,flowering plants,Accepted,Poaceae,(Hochst. ex Steud.) Chase,-18.250278,-43.652222,2001-02-13,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
NA,Melastomataceae,Lavoisiera,Melastomataceae,Lavoisiera,DC.,flowering plants,Accepted,Melastomataceae,DC.,-20.137778,-43.459167,2008-12-09,SpeciesLink,UFMG,UFMG,UFMG,BHCB,501,1
NA,Euphorbiaceae,Croton L.,Euphorbiaceae,Croton,L.,flowering plants,Accepted,Euphorbiaceae,L.,-10.8339,-52.8731,NA,GBIF,F,F,F,Botany,3567,1
Verbena bonariensis,Verbenaceae,Verbena bonariensis L.,Verbenaceae,Verbena bonariensis,L.,flowering plants,Accepted,Verbenaceae,L.,-29.23,-51.34,NA,GBIF,LEB,LEB,LEB,BRASIL,3383,1
Melochia villosa,Malvaceae,Melochia villosa (Mill.) Fawc. & Rendle,Malvaceae,Melochia villosa,(Mill.) Fawc. & Rendle,flowering plants,Accepted,Malvaceae,(Mill.) Fawc. & Rendle,-11.2,-62.033333,1984-06-19,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Macrolobium pendulum,Fabaceae,Macrolobium pendulum Willd. ex Vogel,Fabaceae,Macrolobium pendulum,Willd. ex Vogel,flowering plants,Accepted,Fabaceae,Willd. ex Vogel,-1.233333,-52.4,2010-07-03,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
NA,Thelypteridaceae,Thelypteris Schmidel,Thelypteridaceae,Thelypteris,Schmidel,ferns and allies,Accepted,Thelypteridaceae,Schmidel,NA,NA,1984-02-17,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
