database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.scientificName_empty,.basisOfRrecords_notStandard,country_suggested,countryCode,coordinates_transposed,.coordinates_country_inconsistent
IDIGBIO_1510,Aristolochia sessilifolia (Klotzsch) Duch.,,,f87dddf7-d08e-473b-a176-4a8cd039cfcd,"",Brazil,Rio Grande do Sul,"","Porto Alegre. Canoas, prope Porto Alegre, in arenosis siccis, subnudis ad viam ferream",,PreservedSpecimen,"",,G. Malme,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1511,Mabea pulcherrima Müll.Arg.,,,5d654d4b-0ca4-4ad9-b387-b2eeedba4f0c,1961-09-25,Brazil,"","","",,PreservedSpecimen,"",,"Pires, J.M.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1512,Trichilia,,,a9a0f901-4da3-499d-aed3-1701378d6215,2000-05-11,Brasil,Amazonas,Alvarães,"Estação Ecológica de Mamirauá, Reserva de Desenvolvimento Sustentável de Mamirauá",,PreservedSpecimen,"Souza, M.A.D. de",,Mike Hopkins,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1514,Pelexia oestrifera,,,1a12cc08-bf81-4b3d-b570-61808948da38,"",Brasil,São Paulo,"",Sumaré,,PreservedSpecimen,"Singer, RB",,"Hoehne, FC",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1516,Spigelia sellowiana,,,63dd3a5f-6c60-41a7-a639-8cda22f3823a,"",Brasil,Minas Gerais,"","Região da Represa de Furnas, Estrada para Mineradora Gabi Extrações, primeiro córrego.",,PreservedSpecimen,"Miranda, E.B.",,"Nakajima, J.N.; Bernardes, P.H.N.; Melo, K.B.S.; Soares, P.N. & Loeuille, B.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1517,Leptochloa virgata (L.) P. Beauv.,,,319f3868-62be-413e-aa26-bbffd3115cd7,"",Brazil,Rio de Janeiro,"",San Pedro (northwest of Cabo Frio) near sea level. Moist sand and humus. Brushy border.,,PreservedSpecimen,Neil Snow,,Agnes Chase,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1518,Cyclodium meniscioides,,,ed6ff108-6fca-4986-b327-1046e39a879b,"",Brasil,Mato Grosso,"",Fazenda Santo Antônio área de transição do Córrego Casa de Pedra.,,PreservedSpecimen,"Campos, A.F. & Kreutz, C.",,"Campos, A.F.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1520,Rollinia,,,c62dc2d1-0aa2-4dac-bf4b-f3ce509d2585,2000-04-15,Brasil,Amazonas,Manaus,"Campus do INPA., INPA-V8.",,PreservedSpecimen,"",,Mike Hopkins,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1521,Gomidesia palustris angustifolia,,,5b6cf3a0-a312-4b3b-bda5-4db605562a0e,"",Brazil,Rio Grande do Sul,"",Serra da Rocinha,,PreservedSpecimen,"Mattos, J.",,"Sehnem, A.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1522,Hieronyma alchorheoides,,,2216d562-63d6-4574-b054-c2e46f6321b8,"",Brasil,Paraná,"",Sítio Pinhiero,,PreservedSpecimen,"",,"Pavão, O.C.; et al.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
