database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.missing_name,.missing_xy,.invalid_xy,.xy_provenance,country_suggested,countryCode,transposed_xy,.xy_out_country,.summary
GBIF_92,Eugenia florida DC.,,,2243331697,2016-03-07 00:00:00,BR,Pernambuco,,"Sitio dos Pintos, Associaçao Aguas do Nordeste (ANE).",,PRESERVED_SPECIMEN,"Sobral, M",,"Silva Filha, MJ; Silva, EJ da",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_96,Nectandra lanceolata Nees & Mart. ex Nees,,,2515145907,2002-01-24 00:00:00,BR,"",,RS - Mun. de Caxias do Sul - Forqueta.,,PRESERVED_SPECIMEN,"",,Kegler A,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_99,Portulaca L.,,,216041464,,BR,"",,Bahia; Mpio. Rio do Antonio; 660 m,,PRESERVED_SPECIMEN,"",,"",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_101,Inulopsis stenophylla Dusén,,,2514560187,1960-10-21 00:00:00,BR,"",,Est Parana. Mun Guarapuava. Rio Campo Real.,,PRESERVED_SPECIMEN,"",,Hatschbach GG,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_102,Struthanthus concinnus Mart.,,,1252616930,1995-07-25 00:00:00,BR,São Paulo,,APA Parque e Fazenda do Carmo,,PRESERVED_SPECIMEN,"Sugiyama, M",,"Godoy, SAP",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_103,Herissantia crispa (L.) Brizicky,,,1208836322,2008-07-08 00:00:00,BR,Pernambuco,,Fazenda Itapemirim,,PRESERVED_SPECIMEN,"",,A. M. Miranda,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_105,Cassia fragilis H.S.Irwin & Barneby,,,1424255226,1912-08-01 00:00:00,BR,Goiás,,"Pinguella, Campinas.",,PRESERVED_SPECIMEN,"",,"Luetzelburg, P.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_109,Vriesea paratiensis E.Pereira,,,2452820564,1982-04-29 00:00:00,BR,São Paulo,,"Ilha do Cardoso, Restinga do Pereirinha.",,PRESERVED_SPECIMEN,"Costa, A",,"Duarte, LSR",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_111,Smilax hilariana A.DC. & C.DC.,,,1424342858,1992-10-12 00:00:00,BR,Rio de Janeiro,,Morro do Miranda.,,PRESERVED_SPECIMEN,R.Andreata,,Mario Gomes,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_114,Colanthelia rhizantha (Hack.) McClure,,,1095334342,2007-10-18 00:00:00,BR,Rs,,Jardim Botânico de Lajeado,,PRESERVED_SPECIMEN,"",,"Schmidt, R",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_115,Macroptilium lathyroides (L.) Urb.,,,1094856442,1979-06-02 00:00:00,BR,Ceará,,Serra da Ibiapaba - Entre Campo da Cruz e Guaraciaba do Norte.,,PRESERVED_SPECIMEN,"",,"Fernandes, A.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_116,Croton viroleoides P.E.Berry & Secco,,,1042492837,1979-11-20 00:00:00,BR,Amazonas,,"Estrada Manaus-Itacoatiara, km 150.",,PRESERVED_SPECIMEN,"Berry, P.E.; Riina, R.",,Mike Hopkins,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_118,Diatenopteryx sorbifolia Radlk.,,,1319071305,1957-01-01 00:00:00,BR,Santa Catarina,,"Mun. Dionísio Cerqueira: Pinheiral, Guarujá, 27 km S of Dionísio Cerqueria.",,PRESERVED_SPECIMEN,"Reitz, R.",,L. B. Smith & R. Reitz,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_120,Bulbostylis capillaris (L.) Kunth ex C.B.Clarke,,,1042562668,1997-08-10 00:00:00,BR,Roraima,,Savana.,,PRESERVED_SPECIMEN,"Costa, J.C. da",,Mike Hopkins,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_122,Sagittaria rhombifolia Cham.,,,2236017435,1999-02-15 00:00:00,BR,Minas Gerais,,Parque Nacional Grande Sertão Veredas. Próximo ao Riacho Santa Rita,,PRESERVED_SPECIMEN,"",,"R. C. Mendonça, A. C. Sevilla, J. M. Felfili, C. Fagg, E. Cardoso & N. R. Oliveira",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_124,Cuphea carthagenensis (Jacq.) J.F.Macbr.,,,1087589614,,BR,Minas Gerais,,Estação Ecológica da UFMG,,PRESERVED_SPECIMEN,"",,"",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_127,Acanthospermum australe (Loefl.) Kuntze,,,1087176350,1992-08-19 00:00:00,BR,Es,,Patrimônio de Penha Divino,,PRESERVED_SPECIMEN,"",,"Soares, M.E.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_129,Amaioua Aubl.,,,1291011726,2007-11-01 00:00:00,BR,Mato Grosso,,Rio Juruena,,PRESERVED_SPECIMEN,"",,"Sobral, M; Gallo Silveira, A; Irgang, GV",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_130,Bromus auleticus Trin. ex Nees,,,1252592625,1971-09-25 00:00:00,BR,Rs,,"Morro da Polícia, pouco frequente, declive sul",,PRESERVED_SPECIMEN,"Longhi, H",,"Valls, J",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_133,Diodia schumannii Standl. ex Bacigalupo,,,1702762508,1972-04-04 00:00:00,BR,"",,"Gb, lagoa Uarapendi, Estrada do Altodromo, Terreno arenoso.",,PRESERVED_SPECIMEN,"",,J. Almeida,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_138,Lessingianthus polyphyllus (Sch.Bip. ex Baker) H.Rob.,,,1095410502,1960-08-22 00:00:00,BR,Paraná,,Colônia Abranches,,PRESERVED_SPECIMEN,"Barroso, G.M.",,"Hatschbach, G.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
