database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,.inverted_xy,iso2c,iso3c,.invalid_xy,.outside_xy,.no_xy,.no_name,.doubtful_provenance,.locality_no_xy
IDIGBIO_4353,539f81f7-4da2-45a3-a176-b4eba2a1f6df,Myrsine coriacea,NA,NA,NA,Myrsinaceae,Brasil,Espírito Santo,NA,Aricanga,NA,PreservedSpecimen,NA,NA,NA,T.F. Sagrillo,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4354,9d4b4711-1ee1-48ac-9580-b0f2a9264842,Verbesina glabrata Hook. & Arn.,NA,NA,1837-05-00,COMPOSITAE,Brazil,NA,NA,Organ Ms.,NA,PreservedSpecimen,NA,"Hind, D.J.N.",NA,"Gardner, G.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4357,168a10ee-2ab1-4bfa-957e-041343319882,Lepidaploa tombadorensis,NA,-41.164444,NA,Asteraceae,Brasil,Bahia,NA,Tabuleiro do Tigre.,NA,PreservedSpecimen,NA,NA,NA,"Staudt, M.G.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4358,afdd30a6-14dc-4a16-9c49-f261ef8ddffe,Ocotea teleiandra (Meisn.) Mez,NA,NA,NA,Lauraceae,Brasil,Rio de Janeiro,NA,Santa Maria Madalena.,NA,PreservedSpecimen,sp.,Vattimo,NA,Achilles Lisboa,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4359,ece2a9d9-69dd-4816-84b8-aec9fc8590c8,Heliconia acuminata Rich. ssp. occidentalis L.Andersson,NA,NA,1977-08,Heliconiaceae,Brasil,Amazonas,Manaus,"Campus do INPA., Coroado, Sede do INPA.  Capoeirão de solo argiloso.",NA,PreservedSpecimen,subespécie,"Andersson, L.A.",NA,Mike Hopkins,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4362,8fa2b235-5043-48ff-9c0c-9d5580cef204,Euploca humilis,NA,NA,NA,Heliotropiaceae,Brazil,Minas Gerais,NA,Prov. Minas Geraes. Uberava.,NA,PreservedSpecimen,NA,NA,NA,A. Regnell,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4367,2e083745-3c75-4367-bfec-86a456bc524d,Ocotea spectabilis,NA,NA,NA,Lauraceae,Brazil,Espírito Santo,NA,São Lourenço. Mata Fria. Terreno de Clério Loss.,NA,PreservedSpecimen,NA,"Barbosa, TDM",NA,"Kollmann, L; Bausen, E; Pizziolo, W",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4371,b8a36663-ee27-46a3-bc45-6c5eb1b1797b,Solanum pilcomayense Morong,NA,NA,1967-12-18,SOLANACEAE,Brazil,NA,NA,"Brazil, Estado: Minas Gerais,  Caldas",NA,PreservedSpecimen,NA,"Särkinen, T.",NA,"Regnell, A.F.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4374,7b33aba0-78e0-4806-80be-ff95e9a8886f,Forsteronia australis Müll. Arg.,NA,NA,NA,Apocynaceae,Brazil,NA,NA,Brazil,NA,preservedspecimen,NA,NA,NA,Sellow,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4376,858de1c4-0a66-49bb-b6ae-3edb29c93ede,Andira,NA,NA,NA,Rutaceae,Brasil,Bahia,NA,"Jequié, Estrada para o Brejo Novo, 9Km entrando pela rua Exupério Miranda, no bairro Mandacaru.",NA,PreservedSpecimen,NA,NA,NA,"Macedo, G.E.L.; N.B.Souza.; N.B.Souza.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4379,ce80d4fb-460f-4cba-b6f8-d1c1fa8c8f48,Leiothrix dielsii Ruhland,NA,NA,1883,Eriocaulaceae,Brazil,NA,NA,Brasilia,NA,PreservedSpecimen,Species,NA,NA,A. F. M. Glaziou,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
