SpName,Longitude,Latitude
Ocotea aciphylla,-47.114699,-23.728088
Hirtella hebeclada,-49.087778,-27.056667
Endlicheria paniculata,-46.668492,-22.694886
Miconia prasina,-65.63,-1.83
Allophylus edulis,-57.09,-29.75
Persea splendens,-52.8731,-10.8339
Chomelia obtusa,-51.1164,-10.0117
Piptocarpha sellowii,-53.6142,-25.4792
Blepharocalyx salicifolius,-43.6003,-18.2494
Psychotria carthagenensis,-49.081389,-24.073889
Vachellia farnesiana,-43.3089,-17.0647
Humiria balsamifera,-43.0108,-16.8722
Byrsonima verbascifolia,-54.613472,-20.508889
Myrceugenia miersiana,-49.1989,-25.9281
Casearia javitensis,-63.0208,-7.50611
Siphoneugena reitzii,-51.0972,-23.7233
Lantana camara,-35.00488889,-8.2205
Solanum rugosum,-39.3,-15.09
Strychnos brasiliensis,-51.23,-30.03
Tibouchina fissinervia,-35.8425,-8.737778
Ocotea glomerata,-39.479722,-12.868056
Psychotria carthagenensis,-51.0233,-30.0811
Melanoxylon brauna,-40.1503,-13.5317
Dictyoloma vandellianum,-42.9656,-22.4122
Trema micrantha,-51.784444,-17.796389
Maytenus rigida,-39.332222,-9.723056
Psychotria platypoda,-39.69888889,-14.94216667
Marlierea excoriata,-39.3233,-14.3125
Miconia ligustroides,-48.44,-22.88
Psychotria suterella,-47.994167,-24.141667
Cassia ferruginea,-43.2656,-21.5878
Eugenia subterminalis,-51.99,-21.83
Jatropha mollissima,-37.4203,-10.2183
Lithrea brasiliensis,-49.320833,-28.890278
Rudgea jasminoides,-46.44,-22.79
Inga ingoides,-38.5431,-3.71722
Piptocarpha axillaris,-48.902028,-27.150461
Augusta longifolia,-43.4711,-18.0714
Senna cana,-41.833333,-13.609444
Schefflera vinosa,-41.6636,-13.2497
Pera glabrata,-47.91666667,-15.66666667
Myrsine venosa,-39.0919444,-14.3352777
Siparuna brasiliensis,-46.25,-23.99
Miconia centrodesma,-64.366667,4.05
Myrcia pubiflora,-38.083333,-11.95
Baccharis calvescens,-49.375,-28.01
Leandra laevigata,-49.32,-27.45
Faramea truncata,-46.9422,-22.3722
Tibouchina stenocarpa,-48.829444,-15.768333
Dendropanax cuneatus,-47.47,-20.25
Sorocea hilarii,-40.470556,-20.059167
Bougainvillea glabra,-49.7331,-27.2167
Nectandra puberula,-43.2075,-22.9028
Palicourea marcgravii,-43.55,-18.18
Chrysophyllum marginatum,-43.9758,-21.1869
Myrcia guianensis,-37.5117,-11.5192
Myracrodruon urundeuva,-41.9425,-4.45667
Ilex paraguariensis,-51.6597,-25.6956
Styrax leprosus,-44.1716667,-21.9883333
Cyathea atrovirens,-46.72,-23.32
Tabebuia stenocalyx,-39.033333,-14.833333
Guatteria sellowiana,-41.95,-13.533333
Hirtella gracilipes,-53.42,-11.83
Myracrodruon urundeuva,-49.3794,-20.8197
Styrax pohlii,-46.44,-22.79
Senna rizzinii,-38.301111,-10.195833
Zollernia ilicifolia,-39.4211,-14.8983
Campomanesia eugenioides,-47.06,-22.9
Vochysia thyrsoidea,-42.4833333,-14.1166667
Prunus myrtifolia,-43.7,-19.8
Casearia selloana,-40.109417,-13.944722
Senegalia tenuifolia,-42.2903,-16.1703
Prunus myrtifolia,-48.88,-15.79
Xylopia aromatica,-54.701111,-20.431222
Eugenia francavilleana,-47.6886,-23.3503
Albizia inundata,-38.9644,-6.75333
Miconia fasciculata,-43.21,-22.9
Piper aduncum,-49.38055556,-20.81
Diospyros inconstans,-50.5836,-29.4481
Solanum paniculatum,-39.0177778,-14.2241667
Byrsonima gardneriana,-34.86,-7.12
Luehea divaricata,-46.9422,-22.3722
Laplacea fructicosa,-50.5842,-25.0239
Ossaea amygdaloides,-47.916667,-24.883333
Campomanesia pubescens,-47.99,-21.13
Psychotria stachyoides,-49.378611,-26.250556
Roucheria columbiana,-52.8731,-10.8339
Myrcia hebepetala,-41.9044,-20.5231
Chiococca alba,-46.25,-19.3333333
Psychotria platypoda,-39.471667,-12.869444
Trichilia elegans,-49.38,-23.19
Ilex microdonta,-50.174444,-29.471389
Inga capitata,-34.863056,-7.115
Clidemia capitellata,-43.8067,-19.8864
Myrcia guianensis,-40.1503,-13.5317
Trichilia pallida,-56.366667,-21.4
Guapira opposita,-38.433333,-9.966667
